alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,21,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.05,63,1,1,1,0,1.0,0.0,0.015873015873015872,0.0,0,0,betting,5<K<=30
0.05,73,44,48,0,48,0.0,0.4528301886792453,0.0,0.0,0,0,betting,K<=5
0.1,21,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.1,63,4,5,1,4,0.2,0.019801980198019802,0.015873015873015872,0.0,0,0,betting,5<K<=30
0.1,73,53,60,0,60,0.0,0.5660377358490566,0.0,0.0,0,0,betting,K<=5
0.15,21,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.15,63,7,10,1,9,0.1,0.04455445544554455,0.015873015873015872,0.0,0,0,betting,5<K<=30
0.15,73,61,71,0,71,0.0,0.6698113207547169,0.0,0.0,0,0,betting,K<=5
0.2,21,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.2,63,10,18,2,16,0.1111111111111111,0.07920792079207921,0.031746031746031744,0.0,0,0,betting,5<K<=30
0.2,73,63,74,1,73,0.013513513513513514,0.6886792452830188,0.00684931506849315,0.0,0,0,betting,K<=5
0.05,70,5,5,1,4,0.2,0.0213903743315508,0.014285714285714285,0.0,0,1,betting,5<K<=30
0.05,20,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.05,67,35,37,0,37,0.0,0.3592233009708738,0.0,0.0,0,1,betting,K<=5
0.1,70,7,8,1,7,0.125,0.0374331550802139,0.014285714285714285,0.0,0,1,betting,5<K<=30
0.1,20,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.1,67,48,58,0,58,0.0,0.5631067961165048,0.0,0.0,0,1,betting,K<=5
0.15,70,9,11,1,10,0.09090909090909091,0.053475935828877004,0.014285714285714285,0.0,0,1,betting,5<K<=30
0.15,20,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.15,67,55,66,1,65,0.015151515151515152,0.6310679611650486,0.014925373134328358,0.0,0,1,betting,K<=5
0.2,70,15,18,3,15,0.16666666666666666,0.08021390374331551,0.04285714285714286,0.0,0,1,betting,5<K<=30
0.2,20,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.2,67,59,72,2,70,0.027777777777777776,0.6796116504854369,0.022388059701492536,0.0,0,1,betting,K<=5
