selected,selected_fraction,threshold,fp,tp,fdp,recall
35,0.00995732574679943,0.8188353776931763,9,26,0.2571428571428571,0.1015625
70,0.01991465149359886,0.7176811099052429,26,44,0.37142857142857144,0.171875
105,0.029871977240398292,0.6365668773651123,50,55,0.47619047619047616,0.21484375
141,0.04011379800853485,0.573735237121582,64,77,0.45390070921985815,0.30078125
176,0.05007112375533428,0.5127718448638916,76,100,0.4318181818181818,0.390625
211,0.060028449502133714,0.4417172372341156,96,115,0.4549763033175355,0.44921875
246,0.06998577524893314,0.40434974431991577,116,130,0.4715447154471545,0.5078125
281,0.07994310099573257,0.3720462918281555,138,143,0.49110320284697506,0.55859375
316,0.089900426742532,0.3498085141181946,166,150,0.5253164556962026,0.5859375
352,0.10014224751066857,0.3248114287853241,199,153,0.5653409090909091,0.59765625
387,0.110099573257468,0.3089664876461029,232,155,0.599483204134367,0.60546875
422,0.12005689900426743,0.2870897948741913,265,157,0.6279620853080569,0.61328125
457,0.13001422475106686,0.26546111702919006,297,160,0.649890590809628,0.625
492,0.13997155049786628,0.2462867945432663,332,160,0.6747967479674797,0.625
527,0.14992887624466572,0.23177462816238403,364,163,0.6907020872865275,0.63671875
562,0.15988620199146514,0.22240066528320312,397,165,0.7064056939501779,0.64453125
598,0.1701280227596017,0.21252982318401337,429,169,0.717391304347826,0.66015625
633,0.18008534850640115,0.20397521555423737,462,171,0.7298578199052133,0.66796875
668,0.19004267425320057,0.19789616763591766,496,172,0.7425149700598802,0.671875
703,0.2,0.19089482724666595,528,175,0.7510668563300142,0.68359375
738,0.20995732574679943,0.1847110390663147,560,178,0.7588075880758808,0.6953125
773,0.21991465149359887,0.1796596497297287,595,178,0.7697283311772316,0.6953125
808,0.2298719772403983,0.17407718300819397,629,179,0.7784653465346535,0.69921875
844,0.24011379800853486,0.164307102560997,664,180,0.7867298578199052,0.703125
879,0.2500711237553343,0.15916778147220612,698,181,0.7940841865756542,0.70703125
914,0.2600284495021337,0.1542527973651886,732,182,0.8008752735229759,0.7109375
949,0.26998577524893314,0.1486758589744568,766,183,0.8071654373024236,0.71484375
984,0.27994310099573255,0.14342178404331207,800,184,0.8130081300813008,0.71875
1019,0.289900426742532,0.1379636526107788,830,189,0.8145240431795878,0.73828125
1054,0.29985775248933144,0.13495637476444244,864,190,0.8197343453510436,0.7421875
1090,0.310099573257468,0.1308690905570984,899,191,0.8247706422018348,0.74609375
1125,0.3200568990042674,0.128327876329422,933,192,0.8293333333333334,0.75
1160,0.33001422475106684,0.12527304887771606,968,192,0.8344827586206897,0.75
1195,0.3399715504978663,0.1220676526427269,999,196,0.8359832635983263,0.765625
1230,0.34992887624466573,0.11985243111848831,1034,196,0.8406504065040651,0.765625
1265,0.35988620199146515,0.116707444190979,1067,198,0.8434782608695652,0.7734375
1301,0.3701280227596017,0.11376778036355972,1103,198,0.8478093774019985,0.7734375
1336,0.38008534850640113,0.11102012544870377,1138,198,0.8517964071856288,0.7734375
1371,0.39004267425320055,0.10901810973882675,1169,202,0.8526622902990518,0.7890625
1406,0.4,0.10600507259368896,1203,203,0.8556187766714083,0.79296875
1441,0.40995732574679944,0.10391197353601456,1237,204,0.8584316446911867,0.796875
1476,0.41991465149359886,0.10192685574293137,1271,205,0.8611111111111112,0.80078125
1511,0.4298719772403983,0.10057450085878372,1305,206,0.8636664460622104,0.8046875
1547,0.44011379800853484,0.09892808645963669,1341,206,0.8668390433096316,0.8046875
1582,0.45007112375533426,0.09721492975950241,1374,208,0.8685208596713021,0.8125
1617,0.46002844950213373,0.09510837495326996,1406,211,0.8695114409400123,0.82421875
1652,0.46998577524893315,0.09300830960273743,1441,211,0.8722760290556901,0.82421875
1687,0.47994310099573256,0.09153091907501221,1473,214,0.8731475992886781,0.8359375
1722,0.489900426742532,0.08982601761817932,1504,218,0.8734030197444832,0.8515625
1758,0.5001422475106686,0.08763094991445541,1538,220,0.8748577929465301,0.859375
1793,0.510099573257468,0.08643152564764023,1573,220,0.8773006134969326,0.859375
1828,0.5200568990042674,0.0851033478975296,1607,221,0.8791028446389497,0.86328125
1863,0.5300142247510669,0.08338338881731033,1641,222,0.8808373590982287,0.8671875
1898,0.5399715504978663,0.0821533054113388,1675,223,0.8825079030558483,0.87109375
1933,0.5499288762446657,0.08113821595907211,1709,224,0.884117951370926,0.875
1968,0.5598862019914651,0.08015942573547363,1744,224,0.8861788617886179,0.875
2004,0.5701280227596017,0.07883962988853455,1780,224,0.8882235528942116,0.875
2039,0.5800853485064011,0.0779222697019577,1815,224,0.8901422265816576,0.875
2074,0.5900426742532006,0.07660908252000809,1850,224,0.8919961427193829,0.875
2109,0.6,0.07538233697414398,1884,225,0.8933143669985776,0.87890625
2144,0.6099573257467994,0.07438508421182632,1919,225,0.8950559701492538,0.87890625
2179,0.6199146514935988,0.07302436232566833,1954,225,0.8967416245984396,0.87890625
2214,0.6298719772403983,0.07232752442359924,1987,227,0.8974706413730804,0.88671875
2250,0.6401137980085349,0.07147584110498428,2023,227,0.8991111111111111,0.88671875
2285,0.6500711237553343,0.07070668041706085,2056,229,0.899781181619256,0.89453125
2320,0.6600284495021337,0.06981396675109863,2090,230,0.9008620689655172,0.8984375
2355,0.6699857752489331,0.06901047378778458,2124,231,0.9019108280254777,0.90234375
2390,0.6799431009957326,0.06827112287282944,2159,231,0.903347280334728,0.90234375
2425,0.689900426742532,0.06746557354927063,2194,231,0.9047422680412371,0.90234375
2460,0.6998577524893315,0.06675510108470917,2229,231,0.9060975609756098,0.90234375
2496,0.710099573257468,0.06607650965452194,2264,232,0.907051282051282,0.90625
2531,0.7200568990042674,0.06533095240592957,2299,232,0.9083366258395891,0.90625
2566,0.7300142247510668,0.06441844254732132,2334,232,0.9095869056897895,0.90625
2601,0.7399715504978663,0.06383422762155533,2368,233,0.9104190695886197,0.91015625
2636,0.7499288762446658,0.06299116462469101,2403,233,0.911608497723824,0.91015625
2671,0.7598862019914652,0.062394775450229645,2438,233,0.9127667540247099,0.91015625
2707,0.7701280227596017,0.061754778027534485,2474,233,0.9139268562984854,0.91015625
2742,0.7800853485064011,0.0610642209649086,2507,235,0.9142961342086069,0.91796875
2777,0.7900426742532005,0.06046583503484726,2542,235,0.9153763053655023,0.91796875
2812,0.8,0.05988536775112152,2576,236,0.9160739687055477,0.921875
2847,0.8099573257467995,0.05936447158455849,2610,237,0.916754478398314,0.92578125
2882,0.8199146514935989,0.05872025713324547,2644,238,0.9174184594031922,0.9296875
2917,0.8298719772403983,0.058145251125097275,2678,239,0.9180665066849503,0.93359375
2953,0.8401137980085348,0.05757910758256912,2712,241,0.9183880799187267,0.94140625
2988,0.8500711237553343,0.05720672756433487,2746,242,0.9190093708165997,0.9453125
3023,0.8600284495021338,0.0566563606262207,2779,244,0.9192854780019848,0.953125
3058,0.8699857752489332,0.05608642101287842,2813,245,0.9198822759973839,0.95703125
3093,0.8799431009957326,0.05569853633642197,2847,246,0.9204655674102813,0.9609375
3128,0.889900426742532,0.05523047223687172,2882,246,0.9213554987212276,0.9609375
3164,0.9001422475106685,0.054728541523218155,2918,246,0.9222503160556258,0.9609375
3199,0.910099573257468,0.05436590686440468,2953,246,0.923100969052829,0.9609375
3234,0.9200568990042675,0.053871821612119675,2986,248,0.9233147804576376,0.96875
3269,0.9300142247510669,0.05333550274372101,3018,251,0.9232181095136127,0.98046875
3304,0.9399715504978663,0.05284224823117256,3053,251,0.9240314769975787,0.98046875
3339,0.9499288762446657,0.05234251916408539,3087,252,0.9245283018867925,0.984375
3374,0.9598862019914651,0.05188233032822609,3122,252,0.9253112033195021,0.984375
3410,0.9701280227596017,0.05129050090909004,3157,253,0.9258064516129032,0.98828125
3445,0.9800853485064012,0.05080534890294075,3190,255,0.9259796806966618,0.99609375
3480,0.9900426742532006,0.050449714064598083,3225,255,0.9267241379310345,0.99609375
3515,1.0,0.05000203102827072,3259,256,0.9271692745376956,1.0
