selected,selected_fraction,threshold,fp,tp,fdp,recall
25,0.009928514694201748,0.7205560207366943,25,0,1.0,0.0
50,0.019857029388403495,0.6339926719665527,50,0,1.0,0.0
76,0.030182684670373314,0.5072913765907288,76,0,1.0,0.0
101,0.04011119936457506,0.41304847598075867,101,0,1.0,0.0
126,0.05003971405877681,0.37987658381462097,126,0,1.0,0.0
151,0.05996822875297855,0.3469604253768921,151,0,1.0,0.0
176,0.0698967434471803,0.3220292925834656,176,0,1.0,0.0
201,0.07982525814138205,0.2989112436771393,201,0,1.0,0.0
227,0.09015091342335187,0.27608823776245117,227,0,1.0,0.0
252,0.10007942811755362,0.24827158451080322,252,0,1.0,0.0
277,0.11000794281175535,0.23389065265655518,277,0,1.0,0.0
302,0.1199364575059571,0.22370412945747375,302,0,1.0,0.0
327,0.12986497220015886,0.21485264599323273,327,0,1.0,0.0
353,0.14019062748212868,0.2054676115512848,353,0,1.0,0.0
378,0.15011914217633043,0.19795258343219757,378,0,1.0,0.0
403,0.16004765687053216,0.19092288613319397,403,0,1.0,0.0
428,0.1699761715647339,0.1847110390663147,428,0,1.0,0.0
453,0.17990468625893566,0.17980916798114777,453,0,1.0,0.0
478,0.1898332009531374,0.1742616444826126,478,0,1.0,0.0
504,0.20015885623510724,0.16510826349258423,504,0,1.0,0.0
529,0.210087370929309,0.16061149537563324,529,0,1.0,0.0
554,0.2200158856235107,0.15669108927249908,554,0,1.0,0.0
579,0.22994440031771246,0.15045864880084991,579,0,1.0,0.0
604,0.2398729150119142,0.14580076932907104,604,0,1.0,0.0
630,0.25019857029388404,0.14020812511444092,630,0,1.0,0.0
655,0.2601270849880858,0.13611240684986115,655,0,1.0,0.0
680,0.27005559968228754,0.13212734460830688,680,0,1.0,0.0
705,0.2799841143764893,0.12976108491420746,705,0,1.0,0.0
730,0.28991262907069104,0.12745170295238495,730,0,1.0,0.0
755,0.2998411437648928,0.12372113764286041,755,0,1.0,0.0
781,0.31016679904686256,0.12085358798503876,781,0,1.0,0.0
806,0.3200953137410643,0.11860775202512741,806,0,1.0,0.0
831,0.33002382843526606,0.11618642508983612,831,0,1.0,0.0
856,0.3399523431294678,0.1134670153260231,856,0,1.0,0.0
881,0.34988085782366957,0.11127521842718124,881,0,1.0,0.0
906,0.3598093725178713,0.10928820073604584,906,0,1.0,0.0
932,0.37013502779984114,0.106205515563488,932,0,1.0,0.0
957,0.3800635424940429,0.10439243912696838,957,0,1.0,0.0
982,0.38999205718824465,0.10249625891447067,982,0,1.0,0.0
1007,0.3999205718824464,0.10114499181509018,1007,0,1.0,0.0
1032,0.40984908657664815,0.09970320016145706,1032,0,1.0,0.0
1058,0.420174741858618,0.09837370365858078,1058,0,1.0,0.0
1083,0.4301032565528197,0.09610917419195175,1083,0,1.0,0.0
1108,0.4400317712470214,0.09428496658802032,1108,0,1.0,0.0
1133,0.44996028594122317,0.09240225702524185,1133,0,1.0,0.0
1158,0.4598888006354249,0.0907558873295784,1158,0,1.0,0.0
1183,0.4698173153296267,0.08872178196907043,1183,0,1.0,0.0
1209,0.4801429706115965,0.08727111667394638,1209,0,1.0,0.0
1234,0.49007148530579825,0.08609625697135925,1234,0,1.0,0.0
1259,0.5,0.08459079265594482,1259,0,1.0,0.0
1284,0.5099285146942018,0.08284236490726471,1284,0,1.0,0.0
1309,0.5198570293884035,0.08199962973594666,1309,0,1.0,0.0
1335,0.5301826846703733,0.08098563551902771,1335,0,1.0,0.0
1360,0.5401111993645751,0.07964283972978592,1360,0,1.0,0.0
1385,0.5500397140587768,0.07883962988853455,1385,0,1.0,0.0
1410,0.5599682287529786,0.07803166657686234,1410,0,1.0,0.0
1435,0.5698967434471803,0.07700531929731369,1435,0,1.0,0.0
1460,0.5798252581413821,0.07588688284158707,1460,0,1.0,0.0
1486,0.5901509134233519,0.07472008466720581,1486,0,1.0,0.0
1511,0.6000794281175537,0.07351303100585938,1511,0,1.0,0.0
1536,0.6100079428117554,0.07272711396217346,1536,0,1.0,0.0
1561,0.6199364575059572,0.07208789885044098,1561,0,1.0,0.0
1586,0.6298649722001588,0.071345254778862,1586,0,1.0,0.0
1612,0.6401906274821286,0.07022929936647415,1612,0,1.0,0.0
1637,0.6501191421763304,0.0693693459033966,1637,0,1.0,0.0
1662,0.6600476568705321,0.06884413957595825,1662,0,1.0,0.0
1687,0.6699761715647339,0.06822582334280014,1687,0,1.0,0.0
1712,0.6799046862589356,0.06760963797569275,1712,0,1.0,0.0
1737,0.6898332009531374,0.06695855408906937,1737,0,1.0,0.0
1763,0.7001588562351072,0.06616554409265518,1763,0,1.0,0.0
1788,0.710087370929309,0.06542354822158813,1788,0,1.0,0.0
1813,0.7200158856235107,0.06459987163543701,1813,0,1.0,0.0
1838,0.7299444003177125,0.06388434022665024,1838,0,1.0,0.0
1863,0.7398729150119142,0.06324738264083862,1863,0,1.0,0.0
1888,0.749801429706116,0.06253277510404587,1888,0,1.0,0.0
1914,0.7601270849880858,0.06190357729792595,1914,0,1.0,0.0
1939,0.7700555996822875,0.061284396797418594,1939,0,1.0,0.0
1964,0.7799841143764893,0.060667507350444794,1964,0,1.0,0.0
1989,0.789912629070691,0.06011848896741867,1989,0,1.0,0.0
2014,0.7998411437648928,0.05954945087432861,2014,0,1.0,0.0
2040,0.8101667990468626,0.05894722416996956,2040,0,1.0,0.0
2065,0.8200953137410644,0.05846730247139931,2065,0,1.0,0.0
2090,0.8300238284352661,0.05801345407962799,2090,0,1.0,0.0
2115,0.8399523431294679,0.0575358122587204,2115,0,1.0,0.0
2140,0.8498808578236696,0.057089608162641525,2140,0,1.0,0.0
2165,0.8598093725178714,0.05655595287680626,2165,0,1.0,0.0
2191,0.8701350277998412,0.05605093017220497,2191,0,1.0,0.0
2216,0.8800635424940428,0.055673010647296906,2216,0,1.0,0.0
2241,0.8899920571882446,0.05517079308629036,2241,0,1.0,0.0
2266,0.8999205718824463,0.05476978048682213,2266,0,1.0,0.0
2291,0.9098490865766481,0.054379962384700775,2291,0,1.0,0.0
2317,0.9201747418586179,0.05373899266123772,2317,0,1.0,0.0
2342,0.9301032565528197,0.05323857069015503,2342,0,1.0,0.0
2367,0.9400317712470214,0.052778083831071854,2367,0,1.0,0.0
2392,0.9499602859412232,0.05233754962682724,2392,0,1.0,0.0
2417,0.9598888006354249,0.05192946270108223,2417,0,1.0,0.0
2442,0.9698173153296267,0.051279131323099136,2442,0,1.0,0.0
2468,0.9801429706115965,0.05074071139097214,2468,0,1.0,0.0
2493,0.9900714853057982,0.05044819042086601,2493,0,1.0,0.0
2518,1.0,0.05001971125602722,2518,0,1.0,0.0
