alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,55,3,3,1,2,0.3333333333333333,0.047619047619047616,0.01818181818181818,0,betting
0.1,55,3,3,1,2,0.3333333333333333,0.047619047619047616,0.01818181818181818,0,betting
0.15,55,3,3,1,2,0.3333333333333333,0.047619047619047616,0.01818181818181818,0,betting
0.2,55,8,12,9,3,0.75,0.07142857142857142,0.09090909090909091,0,betting
0.05,55,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,55,4,5,3,2,0.6,0.047619047619047616,0.03636363636363636,0,binary
0.15,55,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,55,6,11,8,3,0.7272727272727273,0.07142857142857142,0.06909090909090909,0,binary
0.05,55,13,15,8,7,0.5333333333333333,0.16666666666666666,0.12727272727272726,0,pvalue_bh
0.1,55,22,33,16,17,0.48484848484848486,0.40476190476190477,0.2,0,pvalue_bh
0.15,55,25,38,19,19,0.5,0.4523809523809524,0.23636363636363636,0,pvalue_bh
0.2,55,32,54,30,24,0.5555555555555556,0.5714285714285714,0.3357575757575758,0,pvalue_bh
0.05,55,0,0,0,0,0.0,0.0,0.0,1,betting
0.1,55,4,4,2,2,0.5,0.05714285714285714,0.03636363636363636,1,betting
0.15,55,8,9,3,6,0.3333333333333333,0.17142857142857143,0.05454545454545454,1,betting
0.2,55,9,11,3,8,0.2727272727272727,0.22857142857142856,0.05454545454545454,1,betting
0.05,55,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,55,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,55,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,55,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,55,13,15,6,9,0.4,0.2571428571428571,0.10909090909090909,1,pvalue_bh
0.1,55,16,20,9,11,0.45,0.3142857142857143,0.14545454545454545,1,pvalue_bh
0.15,55,16,22,11,11,0.5,0.3142857142857143,0.15454545454545454,1,pvalue_bh
0.2,55,19,25,14,11,0.56,0.3142857142857143,0.20909090909090908,1,pvalue_bh
0.05,55,0,0,0,0,0.0,0.0,0.0,2,betting
0.1,55,3,4,0,4,0.0,0.0851063829787234,0.0,2,betting
0.15,55,5,8,1,7,0.125,0.14893617021276595,0.01818181818181818,2,betting
0.2,55,10,15,6,9,0.4,0.19148936170212766,0.07272727272727272,2,betting
0.05,55,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,55,0,0,0,0,0.0,0.0,0.0,2,binary
0.15,55,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,55,0,0,0,0,0.0,0.0,0.0,2,binary
0.05,55,13,16,5,11,0.3125,0.23404255319148937,0.09090909090909091,2,pvalue_bh
0.1,55,22,45,18,27,0.4,0.574468085106383,0.17272727272727273,2,pvalue_bh
0.15,55,28,55,27,28,0.4909090909090909,0.5957446808510638,0.2636363636363636,2,pvalue_bh
0.2,55,33,63,33,30,0.5238095238095238,0.6382978723404256,0.33636363636363636,2,pvalue_bh
0.05,55,0,0,0,0,0.0,0.0,0.0,3,betting
0.1,55,1,1,0,1,0.0,0.023255813953488372,0.0,3,betting
0.15,55,4,6,0,6,0.0,0.13953488372093023,0.0,3,betting
0.2,55,6,8,1,7,0.125,0.16279069767441862,0.01818181818181818,3,betting
0.05,55,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,55,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,55,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,55,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,55,11,13,3,10,0.23076923076923078,0.23255813953488372,0.05454545454545454,3,pvalue_bh
0.1,55,17,25,14,11,0.56,0.2558139534883721,0.14545454545454545,3,pvalue_bh
0.15,55,21,38,19,19,0.5,0.4418604651162791,0.19047619047619044,3,pvalue_bh
0.2,55,25,46,21,25,0.45652173913043476,0.5813953488372093,0.2268398268398268,3,pvalue_bh
0.05,55,0,0,0,0,0.0,0.0,0.0,4,betting
0.1,55,7,8,1,7,0.125,0.175,0.01818181818181818,4,betting
0.15,55,9,10,2,8,0.2,0.2,0.03636363636363636,4,betting
0.2,55,10,11,3,8,0.2727272727272727,0.2,0.05454545454545454,4,betting
0.05,55,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,55,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,55,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,55,0,0,0,0,0.0,0.0,0.0,4,binary
0.05,55,14,15,5,10,0.3333333333333333,0.25,0.09090909090909091,4,pvalue_bh
0.1,55,16,17,7,10,0.4117647058823529,0.25,0.12727272727272726,4,pvalue_bh
0.15,55,20,32,16,16,0.5,0.4,0.18484848484848485,4,pvalue_bh
0.2,55,23,37,21,16,0.5675675675675675,0.4,0.24181818181818182,4,pvalue_bh
