T,calibration_mode,alpha,n_test_families,loo_mean,phi_max,rejections_mean,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,pass_rate
1,pooled_template,0.05,101.0,1.0004442075098068,43.07331522629104,0.0,0.0,0.0,0.0,0.0,1.0
1,pooled_template,0.1,101.0,1.0004442075098068,43.07331522629104,0.2,0.0,0.0,0.0,0.00040669037928932225,1.0
1,pooled_template,0.15,101.0,1.0004442075098068,43.07331522629104,0.85,0.0,0.0,0.0,0.0017692619138044222,1.0
1,pooled_template,0.2,101.0,1.0004442075098068,43.07331522629104,1.65,0.0,0.0,0.0,0.0034093667942051093,1.0
1,per_template,0.05,101.0,1.0004442075098068,43.07331522629104,0.0,0.0,0.0,0.0,0.0,1.0
1,per_template,0.1,101.0,1.0004442075098068,43.07331522629104,0.2,0.0,0.0,0.0,0.00040669037928932225,1.0
1,per_template,0.15,101.0,1.0004442075098068,43.07331522629104,0.85,0.0,0.0,0.0,0.0017692619138044222,1.0
1,per_template,0.2,101.0,1.0004442075098068,43.07331522629104,1.65,0.0,0.0,0.0,0.0034093667942051093,1.0
2,pooled_template,0.05,203.0,0.9977681249768029,64.78501629667637,0.15,0.0,0.0,0.0,0.00015379000595168213,1.0
2,pooled_template,0.1,203.0,0.9977681249768029,64.78501629667637,1.3,0.0,0.0,0.0,0.001333416471485612,1.0
2,pooled_template,0.15,203.0,0.9977681249768029,64.78501629667637,4.15,0.008333333333333333,0.037267799624996496,0.008333333333333333,0.004170603457149696,0.95
2,pooled_template,0.2,203.0,0.9977681249768029,64.78501629667637,6.85,0.012142857142857143,0.03801605178527215,0.012142857142857143,0.006863781751371642,1.0
2,per_template,0.05,203.0,0.9960117531681331,44.72573142282079,0.0,0.0,0.0,0.0,0.0,1.0
2,per_template,0.1,203.0,0.9960117531681331,44.72573142282079,0.25,0.0,0.0,0.0,0.00026088408107520196,1.0
2,per_template,0.15,203.0,0.9960117531681331,44.72573142282079,1.1,0.0,0.0,0.0,0.0011337457212042628,1.0
2,per_template,0.2,203.0,0.9960117531681331,44.72573142282079,2.75,0.01,0.0447213595499958,0.0125,0.002749815726665681,1.0
3,pooled_template,0.05,301.0,0.9970223716304775,61.12377952295744,0.6,0.0,0.0,0.0,0.00043077821590832403,1.0
3,pooled_template,0.1,301.0,0.9970223716304775,61.12377952295744,3.4,0.0,0.0,0.0,0.0024952332932679467,1.0
3,pooled_template,0.15,301.0,0.9970223716304775,61.12377952295744,8.45,0.0125,0.055901699437494734,0.0125,0.006167168206250931,0.95
3,pooled_template,0.2,301.0,0.9970223716304775,61.12377952295744,13.1,0.020845864661654133,0.0477334152919506,0.020845864661654133,0.0094170292921382,1.0
3,per_template,0.05,301.0,0.9975122162051513,43.46037224372333,0.0,0.0,0.0,0.0,0.0,1.0
3,per_template,0.1,301.0,0.9975122162051513,43.46037224372333,0.15,0.0,0.0,0.0,0.00010810035555243238,1.0
3,per_template,0.15,301.0,0.9975122162051513,43.46037224372333,1.05,0.025,0.11180339887498947,0.025,0.0007273695713833587,0.95
3,per_template,0.2,301.0,0.9975122162051513,43.46037224372333,2.8,0.0125,0.055901699437494734,0.016666666666666666,0.0020246709180015954,0.95
4,pooled_template,0.05,397.0,0.9818993931438105,72.04893743933106,3.25,0.0,0.0,0.0,0.0018792070376676036,1.0
4,pooled_template,0.1,397.0,0.9818993931438105,72.04893743933106,14.0,0.018055555555555554,0.05996736712752968,0.018055555555555554,0.008033558539803174,0.9
4,pooled_template,0.15,397.0,0.9818993931438105,72.04893743933106,23.75,0.03442471205057946,0.041940864263582976,0.03462741475328217,0.013244143390749192,1.0
4,pooled_template,0.2,397.0,0.9818993931438105,72.04893743933106,32.5,0.04102191896190636,0.04019123909112713,0.041231496661396014,0.018020728519105893,1.0
4,per_template,0.05,397.0,0.9866835283027806,47.5619954827455,0.0,0.0,0.0,0.0,0.0,1.0
4,per_template,0.1,397.0,0.9866835283027806,47.5619954827455,1.25,0.0,0.0,0.0,0.0007102905157862842,1.0
4,per_template,0.15,397.0,0.9866835283027806,47.5619954827455,3.3,0.025,0.11180339887498947,0.016666666666666666,0.0018353688638887383,0.95
4,per_template,0.2,397.0,0.9866835283027806,47.5619954827455,5.4,0.045,0.11661653058069582,0.034166666666666665,0.0030037531778815923,0.9
8,pooled_template,0.05,1197.0,1.0009008575599645,335.79688253329493,44.65,0.16201327201436785,0.052390913935063656,0.16201327201436785,0.02206068863807082,0.0
8,pooled_template,0.1,1197.0,1.0009008575599645,335.79688253329493,65.6,0.1964727342185602,0.054833142102876146,0.1964727342185602,0.03124770617412841,0.05
8,pooled_template,0.15,1197.0,1.0009008575599645,335.79688253329493,80.85,0.2213364263880865,0.05251443133127491,0.2213364263880865,0.03721967588074323,0.05
8,pooled_template,0.2,1197.0,1.0009008575599645,335.79688253329493,93.2,0.24504592683655085,0.057512620109815546,0.24504592683655085,0.04163585256989037,0.15
8,per_template,0.05,1197.0,0.1857273061641688,46.55598761871646,0.1,0.0,0.0,0.0,6.43915003219575e-05,1.0
8,per_template,0.1,1197.0,0.1857273061641688,46.55598761871646,1.15,0.0,0.0,0.0,0.0006629497471667272,1.0
8,per_template,0.15,1197.0,0.1857273061641688,46.55598761871646,3.2,0.0,0.0,0.0,0.0018856403738840798,1.0
8,per_template,0.2,1197.0,0.1857273061641688,46.55598761871646,6.5,0.018333333333333333,0.056687302744068364,0.013333333333333332,0.0037553312294889853,1.0
