table,dataset,detector,alpha,method,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,rejections_mean,phi_max_median,loo_mean,n_seeds,source,pooled_bound_eps,pooled_bound_delta,pooled_bound_covered,pooled_bound_eps_stratified
table2_baselines,COCO val,GDino,0.05,raw_detector,0.8875412080563674,0.006923453057803007,,1.0,6163.9,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,,,
table2_baselines,COCO val,GDino,0.1,raw_detector,0.8875412080563674,0.006923453057803007,,1.0,6163.9,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,,,
table2_baselines,COCO val,GDino,0.15,raw_detector,0.8875412080563674,0.006923453057803007,,1.0,6163.9,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,,,
table2_baselines,COCO val,GDino,0.2,raw_detector,0.8875412080563674,0.006923453057803007,,1.0,6163.9,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,,,
table2_baselines,COCO val,OWL-ViT,0.05,raw_detector,0.7839547767973223,0.016624512148281593,,1.0,2487.15,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,,,
table2_baselines,COCO val,OWL-ViT,0.1,raw_detector,0.7839547767973223,0.016624512148281593,,1.0,2487.15,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,,,
table2_baselines,COCO val,OWL-ViT,0.15,raw_detector,0.7839547767973223,0.016624512148281593,,1.0,2487.15,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,,,
table2_baselines,COCO val,OWL-ViT,0.2,raw_detector,0.7839547767973223,0.016624512148281593,,1.0,2487.15,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,,,
table2_baselines,COCO val,YOLO-World,0.05,raw_detector,0.5035448724385401,0.05554035468273371,,1.0,804.35,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,,,
table2_baselines,COCO val,YOLO-World,0.1,raw_detector,0.5035448724385401,0.05554035468273371,,1.0,804.35,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,,,
table2_baselines,COCO val,YOLO-World,0.15,raw_detector,0.5035448724385401,0.05554035468273371,,1.0,804.35,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,,,
table2_baselines,COCO val,YOLO-World,0.2,raw_detector,0.5035448724385401,0.05554035468273371,,1.0,804.35,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,,,
table2_baselines,VOC 2012,GDino,0.05,raw_detector,0.9044107166903638,0.00653070406932582,,1.0,5941.05,,,20,outputs/voc_1000_gdino_analysis,,,,
table2_baselines,VOC 2012,GDino,0.1,raw_detector,0.9044107166903638,0.00653070406932582,,1.0,5941.05,,,20,outputs/voc_1000_gdino_analysis,,,,
table2_baselines,VOC 2012,GDino,0.15,raw_detector,0.9044107166903638,0.00653070406932582,,1.0,5941.05,,,20,outputs/voc_1000_gdino_analysis,,,,
table2_baselines,VOC 2012,GDino,0.2,raw_detector,0.9044107166903638,0.00653070406932582,,1.0,5941.05,,,20,outputs/voc_1000_gdino_analysis,,,,
table2_baselines,VOC 2012,OWL-ViT,0.05,raw_detector,0.6973482681523598,0.022166059319900698,,1.0,1446.85,,,20,outputs/voc_1000_owlvit_analysis,,,,
table2_baselines,VOC 2012,OWL-ViT,0.1,raw_detector,0.6973482681523598,0.022166059319900698,,1.0,1446.85,,,20,outputs/voc_1000_owlvit_analysis,,,,
table2_baselines,VOC 2012,OWL-ViT,0.15,raw_detector,0.6973482681523598,0.022166059319900698,,1.0,1446.85,,,20,outputs/voc_1000_owlvit_analysis,,,,
table2_baselines,VOC 2012,OWL-ViT,0.2,raw_detector,0.6973482681523598,0.022166059319900698,,1.0,1446.85,,,20,outputs/voc_1000_owlvit_analysis,,,,
table2_baselines,VOC 2012,YOLO-World,0.05,raw_detector,0.38686444455240976,0.03018668545035321,,1.0,635.7,,,20,outputs/voc_yoloworld_1000_mix_analysis,,,,
table2_baselines,VOC 2012,YOLO-World,0.1,raw_detector,0.38686444455240976,0.03018668545035321,,1.0,635.7,,,20,outputs/voc_yoloworld_1000_mix_analysis,,,,
table2_baselines,VOC 2012,YOLO-World,0.15,raw_detector,0.38686444455240976,0.03018668545035321,,1.0,635.7,,,20,outputs/voc_yoloworld_1000_mix_analysis,,,,
table2_baselines,VOC 2012,YOLO-World,0.2,raw_detector,0.38686444455240976,0.03018668545035321,,1.0,635.7,,,20,outputs/voc_yoloworld_1000_mix_analysis,,,,
