seed,n_tp,n_tp_reachable_T1,n_tp_reachable_tight,n_tp_rejected,n_rejected_total,ceiling_T1,ceiling_tight,actual_recall,efficiency_T1,efficiency_tight,C_m,m,phi_max,n_tp_score>=0.0,ceiling_score>=0.0,n_tp_score>=0.1,ceiling_score>=0.1,n_tp_score>=0.2,ceiling_score>=0.2,n_tp_score>=0.3,ceiling_score>=0.3,n_tp_score>=0.4,ceiling_score>=0.4,n_tp_score>=0.5,ceiling_score>=0.5,config
0,715,108,118,118,122,0.15104895104895105,0.16503496503496504,0.16503496503496504,1.0925925925925926,1.0,5447.559607554503,5128,299.79182509505705,715,0.15104895104895105,565,0.1911504424778761,439,0.2460136674259681,371,0.29110512129380056,292,0.3698630136986301,225,0.48,COCO-1k/GDino
1,660,105,116,116,117,0.1590909090909091,0.17575757575757575,0.17575757575757575,1.1047619047619048,1.0,4983.756032121619,5218,216.83808283124355,660,0.1590909090909091,536,0.1958955223880597,429,0.24475524475524477,372,0.28225806451612906,308,0.3409090909090909,249,0.42168674698795183,COCO-1k/GDino
2,672,93,100,100,108,0.13839285714285715,0.1488095238095238,0.1488095238095238,1.075268817204301,1.0,4372.8376732727,4569,461.5551106924164,672,0.13839285714285715,546,0.17032967032967034,425,0.2188235294117647,350,0.26571428571428574,269,0.34572490706319703,214,0.43457943925233644,COCO-1k/GDino
3,609,125,127,127,129,0.20525451559934318,0.20853858784893267,0.20853858784893267,1.016,1.0,6683.0194799518995,6073,315.7956457199406,609,0.20525451559934318,486,0.257201646090535,385,0.3246753246753247,319,0.39184952978056425,266,0.4699248120300752,213,0.5868544600938967,COCO-1k/GDino
4,647,96,97,97,102,0.14837712519319937,0.14992272024729522,0.14992272024729522,1.0104166666666667,1.0,6652.029391665021,5632,361.55596687773993,647,0.14837712519319937,520,0.18461538461538463,407,0.23587223587223588,345,0.2782608695652174,273,0.3516483516483517,207,0.463768115942029,COCO-1k/GDino
5,718,109,119,119,124,0.15181058495821728,0.16573816155988857,0.16573816155988857,1.091743119266055,1.0,4800.607775490318,5491,271.2182243985523,718,0.15181058495821728,578,0.18858131487889274,448,0.24330357142857142,379,0.287598944591029,294,0.3707482993197279,234,0.4658119658119658,COCO-1k/GDino
6,704,133,139,139,143,0.18892045454545456,0.19744318181818182,0.19744318181818182,1.045112781954887,1.0,4533.371250013106,5210,386.7383391347588,704,0.18892045454545456,578,0.2301038062283737,469,0.2835820895522388,402,0.3308457711442786,337,0.39465875370919884,282,0.4716312056737589,COCO-1k/GDino
7,635,106,114,114,116,0.16692913385826771,0.1795275590551181,0.1795275590551181,1.0754716981132075,1.0,5807.51242235998,5927,298.5976202039825,635,0.16692913385826771,526,0.20152091254752852,423,0.25059101654846333,348,0.3045977011494253,281,0.37722419928825623,220,0.4818181818181818,COCO-1k/GDino
8,704,108,112,112,113,0.1534090909090909,0.1590909090909091,0.1590909090909091,1.037037037037037,1.0,5623.464934637858,4927,357.83823675086677,704,0.1534090909090909,570,0.18947368421052632,434,0.2488479262672811,361,0.29916897506925205,281,0.38434163701067614,215,0.5023255813953489,COCO-1k/GDino
9,720,94,103,103,108,0.13055555555555556,0.14305555555555555,0.14305555555555555,1.0957446808510638,1.0,5107.081296339709,4713,299.85816277962874,720,0.13055555555555556,578,0.16262975778546712,443,0.21218961625282168,365,0.25753424657534246,297,0.3164983164983165,223,0.42152466367713004,COCO-1k/GDino
10,648,103,110,110,114,0.15895061728395063,0.1697530864197531,0.1697530864197531,1.0679611650485437,1.0,4994.787894831646,5666,360.4477697841727,648,0.15895061728395063,527,0.1954459203036053,413,0.24939467312348668,362,0.2845303867403315,294,0.35034013605442177,236,0.4364406779661017,COCO-1k/GDino
11,627,97,98,98,105,0.1547049441786284,0.15629984051036683,0.15629984051036683,1.0103092783505154,1.0,5116.518996033953,5981,279.35694183864916,627,0.1547049441786284,511,0.1898238747553816,399,0.24310776942355888,334,0.2904191616766467,267,0.36329588014981273,213,0.45539906103286387,COCO-1k/GDino
12,811,99,101,101,104,0.1220715166461159,0.12453760789149199,0.12453760789149199,1.0202020202020203,1.0,5938.082748735635,5178,456.84972052845524,811,0.1220715166461159,665,0.14887218045112782,503,0.19681908548707752,412,0.24029126213592233,325,0.3046153846153846,244,0.4057377049180328,COCO-1k/GDino
13,563,92,95,95,99,0.16341030195381884,0.16873889875666073,0.16873889875666073,1.0326086956521738,1.0,9468.642715821326,6367,284.0144003777148,563,0.16341030195381884,464,0.19827586206896552,356,0.25842696629213485,299,0.3076923076923077,245,0.37551020408163266,192,0.4791666666666667,COCO-1k/GDino
14,701,84,94,94,96,0.11982881597717546,0.1340941512125535,0.1340941512125535,1.119047619047619,1.0,5435.380004044244,4703,510.06604459524965,701,0.11982881597717546,568,0.14788732394366197,430,0.19534883720930232,356,0.23595505617977527,293,0.28668941979522183,225,0.37333333333333335,COCO-1k/GDino
15,702,88,92,92,95,0.12535612535612536,0.13105413105413105,0.13105413105413105,1.0454545454545454,1.0,5874.1164116656255,4960,470.78306374881066,702,0.12535612535612536,569,0.1546572934973638,432,0.2037037037037037,333,0.26426426426426425,269,0.3271375464684015,212,0.41509433962264153,COCO-1k/GDino
16,747,99,101,101,105,0.13253012048192772,0.13520749665327977,0.13520749665327977,1.02020202020202,1.0,5164.901525015394,4543,508.1800188501414,747,0.13253012048192772,605,0.16363636363636364,470,0.21063829787234042,397,0.24937027707808565,311,0.3183279742765273,242,0.4090909090909091,COCO-1k/GDino
17,613,102,110,110,114,0.16639477977161501,0.17944535073409462,0.17944535073409462,1.0784313725490196,1.0,7654.459907278879,5908,461.68634146341464,613,0.16639477977161501,494,0.20647773279352227,386,0.26424870466321243,325,0.31384615384615383,263,0.38783269961977185,203,0.5024630541871922,COCO-1k/GDino
18,805,102,113,113,119,0.1267080745341615,0.14037267080745341,0.14037267080745341,1.1078431372549018,1.0,4069.709005407282,4767,348.364500484966,805,0.1267080745341615,654,0.1559633027522936,478,0.21338912133891214,386,0.26424870466321243,297,0.3434343434343434,233,0.43776824034334766,COCO-1k/GDino
19,844,140,144,144,153,0.16587677725118483,0.17061611374407584,0.17061611374407584,1.0285714285714287,1.0,3977.124669960797,4813,355.7014691478942,844,0.16587677725118483,696,0.20114942528735633,519,0.2697495183044316,433,0.3233256351039261,345,0.4057971014492754,280,0.5,COCO-1k/GDino
0,3487,501,559,559,585,0.14367651276168628,0.1603097218239174,0.1603097218239174,1.115768463073852,1.0,28030.67895166982,27844,426.16070247933885,3487,0.14367651276168628,2772,0.18073593073593072,2242,0.22346119536128456,1878,0.26677316293929715,1582,0.3166877370417193,1271,0.3941778127458694,COCO-full/GDino
1,3510,434,463,463,487,0.12364672364672365,0.1319088319088319,0.1319088319088319,1.0668202764976957,1.0,25810.86233271469,27463,369.3084832365087,3510,0.12364672364672365,2775,0.1563963963963964,2242,0.1935771632471008,1866,0.23258306538049303,1560,0.2782051282051282,1258,0.3441971383147854,COCO-full/GDino
2,3425,457,478,478,501,0.13343065693430656,0.13956204379562043,0.13956204379562043,1.0459518599562363,1.0,27971.160410292196,28683,477.92578496226594,3425,0.13343065693430656,2760,0.16557971014492753,2226,0.20530098831985624,1875,0.24373333333333333,1544,0.2959844559585492,1237,0.3694421988682296,COCO-full/GDino
3,3362,456,480,480,502,0.1356335514574658,0.14277215942891136,0.14277215942891136,1.0526315789473684,1.0,33513.102559107036,29552,391.8725805463677,3362,0.1356335514574658,2701,0.16882636060718254,2156,0.21150278293135436,1802,0.25305216426193117,1464,0.3114754098360656,1168,0.3904109589041096,COCO-full/GDino
4,3390,477,515,515,538,0.1407079646017699,0.15191740412979352,0.15191740412979352,1.079664570230608,1.0,30736.20416283368,28273,453.1329759948529,3390,0.1407079646017699,2742,0.1739606126914661,2255,0.21152993348115298,1894,0.2518479408658923,1565,0.3047923322683706,1239,0.38498789346246975,COCO-full/GDino
5,3411,437,466,466,488,0.12811492231017296,0.1366168279097039,0.1366168279097039,1.0663615560640731,1.0,33169.70374832085,29908,496.084391351185,3411,0.12811492231017296,2729,0.16013191645291316,2194,0.199179580674567,1807,0.24183729939125623,1470,0.2972789115646258,1165,0.3742489270386266,COCO-full/GDino
6,3349,439,465,465,484,0.13108390564347566,0.13884741713944462,0.13884741713944462,1.059225512528474,1.0,30275.715602115066,29950,435.254916095959,3349,0.13108390564347566,2646,0.1659108087679516,2104,0.20865019011406843,1781,0.24649073554183043,1501,0.29247168554297137,1198,0.3664440734557596,COCO-full/GDino
7,3462,469,497,497,523,0.13547082611207395,0.14355863662622761,0.14355863662622761,1.0597014925373134,1.0,28952.5771846204,29384,357.18644558086675,3462,0.13547082611207395,2771,0.16925297726452543,2261,0.20743034055727555,1879,0.24960085151676423,1555,0.3016077170418006,1221,0.3841113841113841,COCO-full/GDino
8,3690,466,503,503,526,0.12628726287262873,0.13631436314363143,0.13631436314363143,1.0793991416309012,1.0,31130.553010020078,27005,444.2953329419658,3690,0.12628726287262873,2925,0.1593162393162393,2335,0.19957173447537474,1976,0.23582995951417005,1616,0.28836633663366334,1292,0.3606811145510836,COCO-full/GDino
9,3480,479,516,516,538,0.13764367816091955,0.1482758620689655,0.1482758620689655,1.0772442588726512,1.0,29088.659460246945,27422,388.4867214017063,3480,0.13764367816091955,2822,0.16973777462792347,2303,0.20798957881024752,1946,0.24614594039054472,1621,0.29549660703269587,1266,0.37756714060031593,COCO-full/GDino
10,3553,435,465,465,491,0.12243174781874472,0.13087531663383056,0.13087531663383056,1.0689655172413792,1.0,27110.668128441735,27880,364.54056027009767,3553,0.12243174781874472,2820,0.15425531914893617,2245,0.19376391982182628,1910,0.22774869109947643,1593,0.2730696798493409,1233,0.3519870235198702,COCO-full/GDino
11,3541,408,445,445,470,0.11522168878847783,0.12567071448743292,0.12567071448743292,1.0906862745098038,1.0,36380.35816150257,28834,582.7726621240602,3541,0.11522168878847783,2824,0.14447592067988668,2238,0.18230563002680966,1852,0.2203023758099352,1501,0.27181878747501664,1197,0.3408521303258145,COCO-full/GDino
12,3425,471,495,495,511,0.1375182481751825,0.14452554744525548,0.14452554744525548,1.0509554140127388,1.0,31437.976534980753,28837,410.85389540786406,3425,0.1375182481751825,2755,0.17096188747731397,2211,0.2130257801899593,1853,0.2541824069077172,1538,0.30624187256176855,1227,0.3830480847595762,COCO-full/GDino
13,3481,425,462,462,480,0.12209135305946567,0.1327204826199368,0.1327204826199368,1.0870588235294119,1.0,30209.707891778657,28773,368.4591208996784,3481,0.12209135305946567,2784,0.1526580459770115,2218,0.19161406672678089,1871,0.22715125601282737,1561,0.27226137091607944,1245,0.3405622489959839,COCO-full/GDino
14,3726,510,549,549,586,0.13687600644122383,0.1473429951690821,0.1473429951690821,1.076470588235294,1.0,27257.922973398585,28538,437.84218962008146,3726,0.13687600644122383,2995,0.17028380634390652,2399,0.212588578574406,2009,0.2538576406172225,1666,0.30612244897959184,1348,0.37833827893175076,COCO-full/GDino
15,3552,447,490,490,525,0.1258445945945946,0.13795045045045046,0.13795045045045046,1.0961968680089484,1.0,26421.965627686724,29504,500.6946793970247,3552,0.1258445945945946,2785,0.16050269299820466,2214,0.2018970189701897,1825,0.24493150684931506,1479,0.3022312373225152,1165,0.38369098712446353,COCO-full/GDino
16,3560,413,443,443,466,0.11601123595505618,0.12443820224719102,0.12443820224719102,1.0726392251815982,1.0,29527.353275110203,27132,437.96500110059424,3560,0.11601123595505618,2841,0.14537134811686026,2282,0.18098159509202455,1924,0.21465696465696466,1592,0.2594221105527638,1249,0.32986389111289033,COCO-full/GDino
17,3343,467,502,502,527,0.13969488483398146,0.15016452288363746,0.15016452288363746,1.074946466809422,1.0,30386.016509633875,28851,400.42865296803654,3343,0.13969488483398146,2691,0.17354143441099962,2189,0.21333942439470077,1881,0.2482721956406167,1553,0.3007083065035415,1235,0.37732793522267205,COCO-full/GDino
18,3642,464,504,504,514,0.12740252608456892,0.13838550247116968,0.13838550247116968,1.086206896551724,1.0,30499.018495708908,29233,394.9353933025477,3642,0.12740252608456892,2949,0.15734147168531706,2361,0.19652689538331217,1976,0.23481781376518218,1662,0.27918170878459686,1321,0.35124905374716126,COCO-full/GDino
19,3613,482,520,520,553,0.13340714088015498,0.1439247163022419,0.1439247163022419,1.078838174273859,1.0,31867.06170287147,28159,479.13510368771705,3613,0.13340714088015498,2843,0.16953921913471684,2269,0.2124283825473777,1879,0.25651942522618415,1527,0.31565160445317614,1195,0.40251046025104603,COCO-full/GDino
0,533,159,163,163,178,0.29831144465290804,0.3058161350844278,0.3058161350844278,1.0251572327044027,1.0,6149.662171739283,5642,1051.0892307692309,533,0.29831144465290804,422,0.3767772511848341,364,0.4368131868131868,332,0.4789156626506024,306,0.5196078431372549,275,0.5781818181818181,VOC-1k/GDino
1,544,128,136,136,144,0.23529411764705882,0.25,0.25,1.0625,1.0,5915.489194067146,5078,2160.449241540257,544,0.23529411764705882,430,0.29767441860465116,369,0.34688346883468835,334,0.38323353293413176,308,0.4155844155844156,265,0.4830188679245283,VOC-1k/GDino
2,566,139,147,147,157,0.24558303886925795,0.2597173144876325,0.2597173144876325,1.0575539568345325,1.0,6431.803780506116,4988,1064.320704057279,566,0.24558303886925795,454,0.30616740088105726,399,0.3483709273182957,374,0.3716577540106952,347,0.40057636887608067,313,0.4440894568690096,VOC-1k/GDino
3,577,159,175,175,185,0.2755632582322357,0.30329289428076256,0.30329289428076256,1.10062893081761,1.0,4943.548545137968,5520,1104.3547794117646,577,0.2755632582322357,447,0.35570469798657717,390,0.4076923076923077,358,0.4441340782122905,323,0.49226006191950467,292,0.5445205479452054,VOC-1k/GDino
4,543,122,128,128,135,0.22467771639042358,0.23572744014732966,0.23572744014732966,1.0491803278688525,1.0,7911.914329082635,5441,1991.935710111046,543,0.22467771639042358,437,0.2791762013729977,385,0.3168831168831169,355,0.3436619718309859,329,0.3708206686930091,294,0.41496598639455784,VOC-1k/GDino
5,556,142,150,150,161,0.25539568345323743,0.2697841726618705,0.2697841726618705,1.056338028169014,1.0,7017.820668478201,5616,2063.445835942392,556,0.25539568345323743,441,0.3219954648526077,371,0.38274932614555257,333,0.4264264264264264,308,0.461038961038961,277,0.5126353790613718,VOC-1k/GDino
6,614,137,147,147,156,0.22312703583061888,0.23941368078175895,0.23941368078175895,1.0729927007299271,1.0,5830.495720733686,4857,2261.5130858186244,614,0.22312703583061888,496,0.2762096774193548,425,0.32235294117647056,383,0.3577023498694517,361,0.37950138504155123,320,0.428125,VOC-1k/GDino
7,615,171,182,182,191,0.2780487804878049,0.2959349593495935,0.2959349593495935,1.064327485380117,1.0,4620.5246377768,5369,694.1144338118021,615,0.2780487804878049,502,0.34063745019920316,443,0.3860045146726862,403,0.42431761786600497,373,0.4584450402144772,336,0.5089285714285714,VOC-1k/GDino
8,572,161,172,172,183,0.28146853146853146,0.3006993006993007,0.3006993006993007,1.0683229813664596,1.0,3724.29532625519,4991,1138.380547112462,572,0.28146853146853146,471,0.34182590233545646,412,0.3907766990291262,369,0.4363143631436314,340,0.47352941176470587,318,0.5062893081761006,VOC-1k/GDino
9,648,165,176,176,188,0.25462962962962965,0.2716049382716049,0.2716049382716049,1.0666666666666664,1.0,4420.049051981638,5193,2240.254129606099,648,0.25462962962962965,495,0.3333333333333333,439,0.37585421412300685,404,0.4084158415841584,379,0.43535620052770446,352,0.46875,VOC-1k/GDino
