template_count,template,seeds,own_model_rate,phi_max_mean,phi_max_p95,phi_max_max,fit_families_mean,cal_families_mean,fit_candidates_mean,cal_candidates_mean
7,a photo containing a {category},20,1.0,9.707878961219594,12.681099948780037,14.304807692307692,124.5,42.1,3594.5,1297.0
7,a photo of a {category},20,1.0,9.617801997215144,13.38462409574706,15.952752185211434,120.3,40.2,3522.7,1205.6
7,a small {category} near the center,20,1.0,8.302034819112013,11.059267203713025,11.334716459197786,132.55,45.85,3597.5,1328.9
7,a visible {category} in the scene,20,1.0,7.533873601123775,9.490369410050054,10.151674982181042,128.95,43.35,3652.55,1206.35
7,a {category} in the scene,20,1.0,18.131538805409367,26.345599167857234,26.968393613554905,127.15,44.0,2993.1,1046.55
7,a {category} object,20,1.0,10.51305021823914,12.729079127567106,14.846573208722742,134.85,42.2,3635.55,1104.2
7,the {category} in this image,20,1.0,9.244706695315,12.674073361812825,13.915035725380552,129.7,41.3,3863.15,1359.55
50,a blurry {category},20,1.0,5.117763412391906,6.694254133117348,7.553956834532373,22.8,8.1,710.9,268.65
50,a bright {category},20,0.95,4.853860082134946,7.563139806231813,10.921887033727131,15.4,5.05,510.95,149.6
50,a clean view of a {category},20,0.9,4.5433582710770155,10.844195043153693,12.931678640851525,12.1,5.05,427.15,185.7
50,a clear photo of a {category},20,1.0,4.743309912369957,6.662698412698413,8.253968253968253,18.75,5.9,337.7,109.55
50,a close-up of a {category},20,1.0,6.010501165290952,8.06726621335088,8.402061855670102,12.85,3.85,367.05,105.0
50,a cropped view of a {category},20,1.0,6.205649850737784,10.490336134453784,12.806722689075633,29.3,8.5,769.1,274.75
50,a dark {category},20,1.0,5.395803268656037,8.554262329931973,9.84375,22.3,7.9,485.45,169.8
50,a distant {category},20,1.0,4.253360716770066,6.343606275521169,6.404040404040404,16.75,6.2,399.6,155.4
50,a front view of a {category},20,1.0,6.017512280349881,8.14387755102041,11.877551020408164,15.35,4.15,458.6,142.4
50,a full view of a {category},20,1.0,8.521004269581638,13.580303030303039,24.60606060606061,14.45,5.0,452.65,149.05
50,a hanging {category},20,0.95,5.697751436709767,9.96352846401719,13.14812030075188,18.2,5.95,552.9,165.8
50,a high-resolution view of a {category},20,1.0,5.163368595298271,7.92786508704062,8.284574468085106,18.3,5.65,551.8,142.55
50,a large {category},20,1.0,7.147199800418667,11.818196819681967,12.87878787878788,19.9,7.25,400.2,151.75
50,a low-resolution view of a {category},20,1.0,5.38922045001732,7.655630375059722,8.002717391304348,18.5,6.5,490.3,179.8
50,a lying {category},20,1.0,5.570838704450922,7.997763975155281,10.669565217391304,19.3,7.4,408.85,167.3
50,a man-made {category},20,1.0,7.452468314861281,14.406160714285713,15.3375,16.55,5.1,296.85,87.65
50,a messy view of a {category},20,1.0,6.271561620655069,9.70519481914254,12.404867256637168,21.6,7.05,685.0,217.3
50,a moving {category},20,1.0,5.008728768397177,6.641236503679251,6.842748091603053,21.9,7.65,783.15,311.55
50,a natural image of a {category},20,1.0,6.034534617039363,10.819438717657974,11.444954128440369,17.75,6.5,479.95,197.6
50,a natural {category},20,1.0,5.95417693992062,8.908091971544716,8.94308943089431,22.95,7.05,546.0,170.25
50,a nearby {category},20,0.95,5.616090580493515,9.051265602297546,12.63315518320574,15.95,5.15,421.45,149.8
50,a parked {category},20,1.0,6.560215527490863,11.610304054054051,11.997747747747749,15.95,4.8,673.95,189.6
50,a partial view of a {category},20,1.0,3.8839759607835567,5.457424063800278,5.693481276005548,20.6,6.65,781.3,275.4
50,a photo containing a {category},20,0.8,5.549489660700617,13.376017577654089,14.14601796587689,16.15,4.85,524.4,142.65
50,a photo of a {category},20,1.0,5.243159893299817,7.203677724597017,7.429718875502007,15.2,6.05,299.8,120.6
50,a photographic {category},20,0.95,3.7347298236910427,4.709329645804009,10.921887033727131,12.7,4.5,332.25,106.5
50,a picture with a {category},20,1.0,5.176506826208776,8.746063636363635,8.844,23.85,7.95,682.2,265.45
50,a real {category},20,1.0,7.747112955042725,12.161894832710194,13.83625730994152,19.7,6.35,618.75,189.05
50,a real-world {category},20,0.95,4.2888161831268246,5.482947568406219,12.931678640851525,14.35,3.75,237.2,63.4
50,a scene featuring a {category},20,0.8,6.357888600531476,13.031881981467059,13.189560123566336,16.05,4.75,519.75,184.4
50,a sharp {category},20,0.9,4.150217424513884,13.221596191237898,13.83028147699758,18.55,5.75,424.7,116.15
50,a side view of a {category},20,1.0,5.133963729521616,8.317187751488817,11.206140350877194,20.3,7.05,460.95,156.7
50,a single {category},20,1.0,11.600099231543627,18.832251286449406,26.61320754716981,20.4,7.45,733.15,265.35
50,a sitting {category},20,1.0,6.373311590916979,10.079787234042554,10.585106382978724,18.35,7.15,556.05,200.35
50,a small {category} near the center,20,1.0,3.481601036094317,5.6729687051392474,6.234567901234567,20.15,6.25,438.5,145.4
50,a stacked {category},20,1.0,4.542717459403564,6.330539383561646,9.4875,15.65,4.45,270.95,67.95
50,a standing {category},20,1.0,4.77576816025866,6.941707530315126,7.357357357357357,16.55,5.0,396.45,135.25
50,a surveillance-style view of a {category},20,0.8,7.129020768637747,14.149064872690282,14.206956102144732,16.2,5.4,466.15,170.7
50,a tiny {category},20,1.0,7.174956991537355,13.323464373464375,14.590909090909092,12.85,4.4,399.6,146.35
50,a visible {category} in the scene,20,0.95,7.882451421304914,14.523865414710485,15.11111111111111,14.05,5.75,426.9,160.25
50,a wide-angle view with a {category},20,0.95,5.359497477518278,8.583679156594147,13.023583131882887,17.45,6.2,401.2,137.45
50,a zoomed view of a {category},20,1.0,6.745162089126251,11.47062656641604,12.63157894736842,14.0,5.2,534.55,205.95
50,a {category} in the scene,20,1.0,7.191224900031907,9.856410256410257,11.610256410256412,22.75,7.1,832.1,266.5
50,a {category} next to a wall,20,1.0,4.981701003328444,9.959281914893618,12.51063829787234,18.45,6.65,373.85,139.7
50,a {category} object,20,1.0,4.847294244325896,7.4131576038903635,8.766025641025642,17.25,5.5,488.8,179.35
50,a {category} on a table,20,0.95,5.052976691408269,9.530176748690101,10.921887033727131,15.1,4.4,456.5,137.45
50,a {category} on the ground,20,0.95,4.765987325168584,6.377933547186256,13.558670943725,17.4,5.4,460.75,146.35
50,an actual {category},20,0.95,4.928859518806929,8.46937630692894,10.73432748538012,14.15,4.75,402.95,132.6
50,an image showing a {category},20,1.0,5.038732659244529,6.767996604414261,7.263157894736842,24.75,8.8,617.45,228.5
50,the {category} in this image,20,1.0,6.714915988078237,11.701277618485411,13.586776859504132,18.15,5.75,512.3,221.55
100,a blurry {category},20,1.0,4.30796370859592,5.578026797763641,6.956140350877193,15.05,5.2,559.7,205.15
100,a bright {category},20,0.8,5.745030404127936,11.62519852532278,14.14601796587689,6.9,2.05,207.2,57.1
100,a clean view of a {category},20,0.35,9.112908954841066,14.149064872690282,14.206956102144732,6.8,2.95,226.5,118.15
100,a clear photo of a {category},20,1.0,4.4035120266100245,6.578765432098767,9.6,11.05,3.8,190.55,64.6
100,a close-up of a {category},20,1.0,3.410804366856547,4.549152542372881,4.983050847457627,5.85,2.0,166.95,52.25
100,a cropped view of a {category},20,1.0,5.627957371191441,8.482199182242992,9.925233644859812,16.3,4.1,367.85,94.4
100,a dark {category},20,0.85,5.80170510794475,11.65573766884369,13.30422140120416,9.7,3.8,240.8,90.35
100,a distant {category},20,0.85,5.362045890713003,12.950305778869156,13.30422140120416,7.4,2.5,111.65,32.95
100,a front view of a {category},20,1.0,5.988109737191299,8.558996638775659,11.644067796610171,8.6,2.25,268.8,87.25
100,a full view of a {category},20,0.95,6.502807471969599,12.062042720361477,14.206956102144732,7.0,2.75,167.1,68.75
100,a hanging {category},20,0.65,7.549651396943223,13.198015184008131,14.14601796587689,9.45,3.05,381.1,120.25
100,a high-resolution view of a {category},20,0.9,4.336931350178261,7.011266880519589,13.558670943725,7.05,2.65,249.0,86.5
100,a large {category},20,0.9,5.39418535831739,12.564105206017555,14.206956102144732,12.75,4.7,231.3,79.55
100,a low-resolution view of a {category},20,0.9,5.158215639862274,13.16121558968415,13.410026079397277,9.15,3.1,294.05,106.4
100,a lying {category},20,0.95,4.80972719686267,8.32332351712615,10.73432748538012,6.0,2.55,138.85,58.3
100,a man-made {category},20,0.85,6.6078147490830474,13.150192291892603,13.189560123566336,9.75,3.25,178.35,58.9
100,a messy view of a {category},20,0.75,7.864162218559651,14.149064872690282,14.206956102144732,8.05,2.9,306.7,99.45
100,a moving {category},20,1.0,8.185783379284068,14.358053788316948,15.210526315789473,11.0,3.5,366.05,162.95
100,a natural image of a {category},20,0.9,6.134340903324329,13.37906448446748,14.206956102144732,8.9,3.1,238.05,81.95
100,a natural {category},20,1.0,8.193599477579797,12.948328767123293,24.72,11.4,3.75,283.7,84.6
100,a nearby {category},20,0.5,8.027070791934351,13.849115208254938,14.206956102144732,5.1,1.6,151.1,52.25
100,a parked {category},20,0.0,12.355657625883438,13.846068301441546,14.14601796587689,5.25,1.8,221.6,66.35
100,a partial view of a {category},20,0.75,4.922163925725434,13.849115208254938,14.206956102144732,11.5,3.5,365.15,126.4
100,a photo containing a {category},20,0.0,12.12485908783166,14.149064872690282,14.206956102144732,8.15,1.95,340.45,78.6
100,a photo of a {category},20,0.65,6.491553951677943,13.446825673721257,14.14601796587689,8.25,3.35,157.45,61.9
100,a photographic {category},20,0.65,6.759825458084872,13.572251470388629,13.83028147699758,6.05,2.65,153.65,58.95
100,a picture with a {category},20,0.95,6.296685563603138,12.96544415525791,14.292134831460674,10.3,3.2,442.9,175.2
100,a real {category},20,1.0,3.845051960287756,6.300305503523327,9.12162162162162,8.2,2.25,348.2,97.9
100,a real-world {category},20,0.75,4.834689302876989,13.309511635113816,13.410026079397277,7.35,2.6,145.2,48.0
100,a scene featuring a {category},20,0.25,11.604827483007567,13.669612449499873,13.83028147699758,7.0,2.05,165.5,55.5
100,a sharp {category},20,0.65,6.199211175930919,13.846068301441546,14.14601796587689,10.1,2.9,176.7,58.1
100,a side view of a {category},20,0.8,5.049791431797359,12.933895222929612,13.66115618489473,8.1,2.45,168.6,51.05
100,a single {category},20,1.0,9.038330649845843,15.087345679012351,22.746913580246915,14.4,5.45,546.2,223.15
100,a sitting {category},20,0.95,6.618779838547626,11.498507008965655,12.931678640851525,10.05,3.5,471.65,161.9
100,a small {category} near the center,20,0.7,5.980900396805905,13.240429922495256,14.206956102144732,10.2,3.35,162.25,52.65
100,a stacked {category},20,1.0,2.6960977135009236,4.074025157232705,4.213836477987422,6.6,1.4,119.9,18.25
100,a standing {category},20,1.0,4.728001584890231,6.801606753812638,7.037037037037036,8.9,2.45,228.45,65.0
100,a surveillance-style view of a {category},20,0.0,12.844148440659634,14.149064872690282,14.206956102144732,10.15,3.05,265.7,97.0
100,a tiny {category},20,0.9,4.204507697361715,12.451902708017816,13.189560123566336,7.85,2.6,224.3,74.4
