alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,146,7,139,0.04794520547945205,0.31662870159453305,0.8639955520629883,0,score_oracle
0.1,207,20,187,0.0966183574879227,0.42596810933940776,0.7844637036323547,0,score_oracle
0.15,271,40,231,0.14760147601476015,0.5261958997722096,0.6689262986183167,0,score_oracle
0.2,340,68,272,0.2,0.6195899772209568,0.5398920774459839,0,score_oracle
0.05,166,8,158,0.04819277108433735,0.42245989304812837,0.7811289429664612,1,score_oracle
0.1,235,23,212,0.09787234042553192,0.5668449197860963,0.6017197370529175,1,score_oracle
0.15,288,43,245,0.14930555555555555,0.6550802139037433,0.4524061977863312,1,score_oracle
0.2,322,64,258,0.19875776397515527,0.6898395721925134,0.350369930267334,1,score_oracle
0.05,124,6,118,0.04838709677419355,0.28502415458937197,0.8799614906311035,2,score_oracle
0.1,190,19,171,0.1,0.41304347826086957,0.800180196762085,2,score_oracle
0.15,271,40,231,0.14760147601476015,0.5579710144927537,0.6149638891220093,2,score_oracle
0.2,370,74,296,0.2,0.714975845410628,0.3796548247337341,2,score_oracle
0.05,195,9,186,0.046153846153846156,0.4017278617710583,0.7804117202758789,3,score_oracle
0.1,285,28,257,0.09824561403508772,0.5550755939524838,0.5925708413124084,3,score_oracle
0.15,357,53,304,0.1484593837535014,0.6565874730021598,0.4066944420337677,3,score_oracle
0.2,410,82,328,0.2,0.7084233261339092,0.3032223880290985,3,score_oracle
0.05,129,6,123,0.046511627906976744,0.2679738562091503,0.8865789771080017,4,score_oracle
0.1,242,24,218,0.09917355371900827,0.4749455337690632,0.6810458302497864,4,score_oracle
0.15,284,42,242,0.14788732394366197,0.5272331154684096,0.6093505024909973,4,score_oracle
0.2,357,71,286,0.19887955182072828,0.6230936819172114,0.4299014210700989,4,score_oracle
0.05,240,12,228,0.05,0.6350974930362117,0.5544108748435974,5,score_oracle
0.1,286,28,258,0.0979020979020979,0.7186629526462396,0.3895090818405151,5,score_oracle
0.15,315,47,268,0.1492063492063492,0.7465181058495822,0.3365605771541595,5,score_oracle
