bin,left,right,null_count,tp_count,p0,p1,raw_phi,regularized_raw_phi,phi
0,0.0500633232295513,0.0514873119536787,25,4,0.02272652897971057,0.0034019794571797843,0.14965986394557823,0.14969199477038264,0.14969199477038264
1,0.0514873119536787,0.053749048151075764,23,5,0.02090847938331758,0.0042522617509013,0.20334220644779655,0.2033749883453546,0.2033749883453546
2,0.053749048151075764,0.055710755288600894,24,5,0.021817504181514073,0.0042522617509013,0.19486961451247165,0.19490138356449738,0.19490138356449738
3,0.055710755288600894,0.05717055406421415,22,6,0.019999454585121083,0.0051025440446228155,0.2551020408163265,0.25513415992948807,0.25513415992948807
4,0.05717055406421415,0.058992987498641,25,4,0.02272652897971057,0.0034019794571797843,0.14965986394557823,0.14969199477038264,0.14969199477038264
5,0.058992987498641,0.061090801376849385,19,9,0.0172723801905316,0.007653390925787361,0.4430719656283566,0.4430999573517267,0.4430999573517267
6,0.061090801376849385,0.06340283295139663,22,7,0.019999454585121083,0.005952826338344331,0.2976190476190476,0.29764943403871785,0.29764943403871785
7,0.06340283295139663,0.06627196818590154,18,10,0.016363355392335105,0.008503673219508876,0.5196523053665911,0.5196778420819579,0.5196778420819579
8,0.06627196818590154,0.06834282632917162,23,5,0.02090847938331758,0.0042522617509013,0.20334220644779655,0.2033749883453546,0.2033749883453546
9,0.06834282632917162,0.07082662172615525,22,7,0.019999454585121083,0.005952826338344331,0.2976190476190476,0.29764943403871785,0.29764943403871785
10,0.07082662172615525,0.07360484311357139,24,4,0.021817504181514073,0.0034019794571797843,0.1558956916099773,0.15592890134804122,0.15592890134804122
11,0.07360484311357139,0.07599850744009018,27,2,0.024544578576103558,0.0017014148697367527,0.06928697404887882,0.0693193759453356,0.0693193759453356
12,0.07599850744009018,0.0789598813280463,19,9,0.0172723801905316,0.007653390925787361,0.4430719656283566,0.4430999573517267,0.4430999573517267
13,0.0789598813280463,0.08183424454182382,19,10,0.0172723801905316,0.008503673219508876,0.4923021840315074,0.49232781618427046,0.49232781618427046
14,0.08183424454182382,0.08535411674529313,22,6,0.019999454585121083,0.0051025440446228155,0.2551020408163265,0.25513415992948807,0.25513415992948807
15,0.08535411674529313,0.0905191898345947,20,8,0.018181404988728094,0.006803108632065845,0.3741496598639456,0.3741794782242385,0.3741794782242385
16,0.0905191898345947,0.09390838677063582,23,6,0.02090847938331758,0.0051025440446228155,0.2440106477373558,0.24404185264156628,0.24404185264156628
17,0.09390838677063582,0.0992198390886187,21,7,0.01909042978692459,0.005952826338344331,0.3117913832199546,0.3118225417021014,0.3118225417021014
18,0.0992198390886187,0.10348549997434016,21,8,0.01909042978692459,0.006803108632065845,0.35633300939423385,0.35636225627174867,0.35636225627174867
19,0.10348549997434016,0.10799697972834107,17,11,0.01545433059413861,0.009353955513230393,0.6052420968387354,0.6052643598020404,0.6052643598020404
20,0.10799697972834107,0.11506014177575703,21,8,0.01909042978692459,0.006803108632065845,0.35633300939423385,0.35636225627174867,0.35636225627174867
21,0.11506014177575703,0.12038006912916892,18,10,0.016363355392335105,0.008503673219508876,0.5196523053665911,0.5196778420819579,0.5196778420819579
22,0.12038006912916892,0.12622537836432451,22,7,0.019999454585121083,0.005952826338344331,0.2976190476190476,0.29764943403871785,0.29764943403871785
23,0.12622537836432451,0.13127733767032615,16,12,0.014545305795942116,0.010204237806951908,0.7015306122448979,0.7015485236342511,0.7015485236342511
24,0.13127733767032615,0.14103026129305354,21,7,0.01909042978692459,0.005952826338344331,0.3117913832199546,0.3118225417021014,0.3118225417021014
25,0.14103026129305354,0.14719713293015957,21,8,0.01909042978692459,0.006803108632065845,0.35633300939423385,0.35636225627174867,0.35636225627174867
26,0.14719713293015957,0.155873586423695,16,12,0.014545305795942116,0.010204237806951908,0.7015306122448979,0.7015485236342511,0.7015485236342511
27,0.155873586423695,0.16835319623351097,19,10,0.0172723801905316,0.008503673219508876,0.4923021840315074,0.49232781618427046,0.49232781618427046
28,0.16835319623351097,0.1784757440909744,18,10,0.016363355392335105,0.008503673219508876,0.5196523053665911,0.5196778420819579,0.5196778420819579
29,0.1784757440909744,0.19282123446464536,18,11,0.016363355392335105,0.009353955513230393,0.5716175359032502,0.5716404300313588,0.5716404300313588
30,0.19282123446464536,0.20774629618972534,20,8,0.018181404988728094,0.006803108632065845,0.3741496598639456,0.3741794782242385,0.3741794782242385
31,0.20774629618972534,0.2169223576784134,19,9,0.0172723801905316,0.007653390925787361,0.4430719656283566,0.4430999573517267,0.4430999573517267
32,0.2169223576784134,0.22621751576662064,16,13,0.014545305795942116,0.011054520100673424,0.7599914965986395,0.7600060291449796,0.7600060291449796
33,0.22621751576662064,0.23640397563576704,19,9,0.0172723801905316,0.007653390925787361,0.4430719656283566,0.4430999573517267,0.4430999573517267
34,0.23640397563576704,0.24942229036241761,20,9,0.018181404988728094,0.007653390925787361,0.42091836734693877,0.420946067178649,0.420946067178649
35,0.24942229036241761,0.2687537670135498,15,13,0.01363628099774562,0.011054520100673424,0.8106575963718822,0.810669720175243,0.810669720175243
36,0.2687537670135498,0.280785160139203,18,11,0.016363355392335105,0.009353955513230393,0.5716175359032502,0.5716404300313588,0.5716404300313588
37,0.280785160139203,0.28967675939202303,19,9,0.0172723801905316,0.007653390925787361,0.4430719656283566,0.4430999573517267,0.4430999573517267
38,0.28967675939202303,0.30353534966707224,17,12,0.01545433059413861,0.010204237806951908,0.6602641056422568,0.6602833907812278,0.6602833907812278
39,0.30353534966707224,0.3237113058567047,16,12,0.014545305795942116,0.010204237806951908,0.7015306122448979,0.7015485236342511,0.7015485236342511
40,0.3237113058567047,0.33649918995797634,14,14,0.012727256199549125,0.01190480239439494,0.9353741496598639,0.9353785456771647,0.9353785456771647
41,0.33649918995797634,0.35181986913084984,17,12,0.01545433059413861,0.010204237806951908,0.6602641056422568,0.6602833907812278,0.6602833907812278
42,0.35181986913084984,0.3687824495136737,14,14,0.012727256199549125,0.01190480239439494,0.9353741496598639,0.9353785456771647,0.9353785456771647
43,0.3687824495136737,0.38520159572362894,23,6,0.02090847938331758,0.0051025440446228155,0.2440106477373558,0.24404185264156628,0.24404185264156628
44,0.38520159572362894,0.4039604868739843,13,15,0.011818231401352628,0.012755084688116454,1.0792778649921508,1.0792718686026574,1.0792718686026574
45,0.4039604868739843,0.42363658547401434,14,15,0.012727256199549125,0.012755084688116454,1.0021865889212829,1.0021865269411576,1.0021865269411576
46,0.42363658547401434,0.43981590121984476,14,14,0.012727256199549125,0.01190480239439494,0.9353741496598639,0.9353785456771647,0.9353785456771647
47,0.43981590121984476,0.46126583218574546,16,13,0.014545305795942116,0.011054520100673424,0.7599914965986395,0.7600060291449796,0.7600060291449796
48,0.46126583218574546,0.4821089524775743,12,16,0.010909206603156134,0.013605366981837973,1.2471655328798184,1.2471454136638878,1.2471454136638878
