alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,537,84,114,6,108,0.05263157894736842,0.2559241706161137,0.00819366852886406,0,betting
0.1,537,102,145,8,137,0.05517241379310345,0.3246445497630332,0.010676598386095594,0,betting
0.15,537,114,171,11,160,0.06432748538011696,0.3791469194312796,0.014276846679081317,0,betting
0.2,537,119,183,13,170,0.07103825136612021,0.4028436018957346,0.01613904407200497,0,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,537,37,50,21,29,0.42,0.06872037914691943,0.027001862197392923,0,binary
0.05,537,131,215,29,186,0.13488372093023257,0.44075829383886256,0.0287088764742396,0,pvalue_bh
0.1,537,151,273,55,218,0.20146520146520147,0.5165876777251185,0.05293961159882947,0,pvalue_bh
0.15,537,171,328,90,238,0.27439024390243905,0.5639810426540285,0.0804564950551425,0,pvalue_bh
0.2,537,185,362,118,244,0.3259668508287293,0.5781990521327014,0.10569380960442412,0,pvalue_bh
0.05,537,64,96,1,95,0.010416666666666666,0.23514851485148514,0.00186219739292365,1,betting
0.1,537,87,158,7,151,0.04430379746835443,0.37376237623762376,0.004705629565964762,1,betting
0.15,537,96,177,8,169,0.04519774011299435,0.4183168316831683,0.005326362030272645,1,betting
0.2,537,106,197,14,183,0.07106598984771574,0.452970297029703,0.0146034908604741,1,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,537,118,232,26,206,0.11206896551724138,0.5099009900990099,0.025071814177959426,1,pvalue_bh
0.1,537,139,295,52,243,0.17627118644067796,0.6014851485148515,0.04446195228318133,1,pvalue_bh
0.15,537,162,351,86,265,0.245014245014245,0.655940594059406,0.07496387437581203,1,pvalue_bh
0.2,537,181,408,128,280,0.3137254901960784,0.693069306930693,0.1022158784728617,1,pvalue_bh
0.05,537,73,97,11,86,0.1134020618556701,0.2222222222222222,0.013656114214773432,2,betting
0.1,537,86,117,13,104,0.1111111111111111,0.268733850129199,0.016139044072004966,2,betting
0.15,537,93,134,13,121,0.09701492537313433,0.31266149870801035,0.015983860955927992,2,betting
0.2,537,98,141,16,125,0.11347517730496454,0.32299741602067183,0.02063935443823712,2,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.05,537,119,189,31,158,0.164021164021164,0.4082687338501292,0.033260914545830744,2,pvalue_bh
0.1,537,147,253,58,195,0.22924901185770752,0.5038759689922481,0.061367532736247815,2,pvalue_bh
0.15,537,172,312,95,217,0.30448717948717946,0.5607235142118863,0.09758727202861281,2,pvalue_bh
0.2,537,195,390,151,239,0.3871794871794872,0.6175710594315246,0.1335318028753783,2,pvalue_bh
0.05,537,88,122,6,116,0.04918032786885246,0.3314285714285714,0.009000620732464309,3,betting
0.1,537,104,146,12,134,0.0821917808219178,0.38285714285714284,0.018311607697082555,3,betting
0.15,537,112,166,16,150,0.0963855421686747,0.42857142857142855,0.021725636250775917,3,betting
0.2,537,118,175,20,155,0.11428571428571428,0.44285714285714284,0.026846679081315956,3,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,537,136,218,30,188,0.13761467889908258,0.5371428571428571,0.03679908959238568,3,pvalue_bh
0.1,537,161,285,61,224,0.21403508771929824,0.64,0.06572757368846753,3,pvalue_bh
0.15,537,174,326,91,235,0.2791411042944785,0.6714285714285714,0.08906993585764536,3,pvalue_bh
0.2,537,196,375,131,244,0.34933333333333333,0.6971428571428572,0.1270856263051465,3,pvalue_bh
0.05,537,72,94,3,91,0.031914893617021274,0.2394736842105263,0.00558659217877095,4,betting
0.1,537,90,124,7,117,0.056451612903225805,0.3078947368421053,0.010552451893234015,4,betting
0.15,537,100,141,12,129,0.0851063829787234,0.3394736842105263,0.01707014276846679,4,betting
0.2,537,106,150,14,136,0.09333333333333334,0.35789473684210527,0.019863438857852266,4,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,537,28,37,16,21,0.43243243243243246,0.05526315789473684,0.016139044072004966,4,binary
0.05,537,128,185,21,164,0.11351351351351352,0.43157894736842106,0.02855369335816263,4,pvalue_bh
0.1,537,142,288,97,191,0.3368055555555556,0.5026315789473684,0.04403461721897476,4,pvalue_bh
0.15,537,177,390,170,220,0.4358974358974359,0.5789473684210527,0.08807306907865567,4,pvalue_bh
0.2,537,194,517,269,248,0.5203094777562862,0.6526315789473685,0.11389498536844905,4,pvalue_bh
