alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,559,116,164,11,153,0.06707317073170732,0.2870544090056285,0.018783542039355994,0,betting
0.1,559,139,203,17,186,0.08374384236453201,0.34896810506566606,0.026744186046511628,0,betting
0.15,559,155,234,27,207,0.11538461538461539,0.3883677298311445,0.03623534088650368,0,betting
0.2,559,163,247,30,217,0.1214574898785425,0.4071294559099437,0.03862055257404094,0,betting
0.05,559,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,559,0,0,0,0,0.0,0.0,0.0,0,binary
0.15,559,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,559,0,0,0,0,0.0,0.0,0.0,0,binary
0.05,559,192,303,63,240,0.2079207920792079,0.450281425891182,0.07940767243092824,0,pvalue_bh
0.1,559,230,374,102,272,0.2727272727272727,0.5103189493433395,0.12878155436294972,0,pvalue_bh
0.15,559,269,452,147,305,0.3252212389380531,0.5722326454033771,0.1765645852855155,0,pvalue_bh
0.2,559,293,516,197,319,0.3817829457364341,0.5984990619136961,0.2216334698892838,0,pvalue_bh
0.05,559,104,130,5,125,0.038461538461538464,0.22977941176470587,0.008944543828264758,1,betting
0.1,559,126,180,9,171,0.05,0.31433823529411764,0.014758497316636851,1,betting
0.15,559,136,202,14,188,0.06930693069306931,0.34558823529411764,0.020700230002555584,1,betting
0.2,559,144,219,19,200,0.0867579908675799,0.36764705882352944,0.02517250191668796,1,betting
0.05,559,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,559,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,559,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,559,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,559,193,308,60,248,0.19480519480519481,0.45588235294117646,0.08014453247011387,1,pvalue_bh
0.1,559,233,380,101,279,0.2657894736842105,0.5128676470588235,0.1341780958060028,1,pvalue_bh
0.15,559,255,442,143,299,0.3235294117647059,0.5496323529411765,0.17070874861572535,1,pvalue_bh
0.2,559,274,500,182,318,0.364,0.5845588235294118,0.20163220949368574,1,pvalue_bh
0.05,559,115,152,5,147,0.03289473684210526,0.2597173144876325,0.007751937984496125,2,betting
0.1,559,142,211,11,200,0.052132701421800945,0.35335689045936397,0.015802027429934404,2,betting
0.15,559,152,228,11,217,0.04824561403508772,0.3833922261484099,0.015802027429934404,2,betting
0.2,559,160,244,13,231,0.05327868852459016,0.4081272084805654,0.016607036374478235,2,betting
0.05,559,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,559,0,0,0,0,0.0,0.0,0.0,2,binary
0.15,559,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,559,0,0,0,0,0.0,0.0,0.0,2,binary
0.05,559,188,301,30,271,0.09966777408637874,0.4787985865724382,0.038968395945140136,2,pvalue_bh
0.1,559,221,378,69,309,0.18253968253968253,0.5459363957597173,0.08470908936025215,2,pvalue_bh
0.15,559,245,458,120,338,0.26200873362445415,0.5971731448763251,0.13315521687614712,2,pvalue_bh
0.2,559,270,537,178,359,0.33147113594040967,0.6342756183745583,0.17754067637788568,2,pvalue_bh
0.05,559,123,165,4,161,0.024242424242424242,0.27902946273830154,0.007155635062611807,3,betting
0.1,559,144,218,15,203,0.06880733944954129,0.35181975736568455,0.02032399125422381,3,betting
0.15,559,153,243,21,222,0.08641975308641975,0.3847487001733102,0.023454581594116477,3,betting
0.2,559,160,257,25,232,0.09727626459143969,0.4020797227036395,0.028284635261379445,3,betting
0.05,559,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,559,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,559,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,559,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,559,189,311,49,262,0.15755627009646303,0.4540727902946274,0.056168185819348605,3,pvalue_bh
0.1,559,228,389,92,297,0.2365038560411311,0.5147313691507799,0.10927534997302439,3,pvalue_bh
0.15,559,262,457,138,319,0.30196936542669583,0.5528596187175043,0.15707470823749894,3,pvalue_bh
0.2,559,291,525,186,339,0.35428571428571426,0.587521663778163,0.20366300366300366,3,pvalue_bh
0.05,559,100,125,5,120,0.04,0.22099447513812154,0.008050089445438283,4,betting
0.1,559,119,175,7,168,0.04,0.30939226519337015,0.011627906976744186,4,betting
0.15,559,129,196,12,184,0.061224489795918366,0.3388581952117864,0.019230769230769232,4,betting
0.2,559,141,226,23,203,0.10176991150442478,0.3738489871086556,0.027827469687934803,4,betting
0.05,559,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,559,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,559,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,559,0,0,0,0,0.0,0.0,0.0,4,binary
0.05,559,180,294,51,243,0.17346938775510204,0.44751381215469616,0.069568674219837,4,pvalue_bh
0.1,559,219,392,85,307,0.21683673469387754,0.565377532228361,0.10882244370616465,4,pvalue_bh
0.15,559,243,452,129,323,0.2853982300884956,0.5948434622467772,0.1471533634324332,4,pvalue_bh
0.2,559,265,505,165,340,0.32673267326732675,0.6261510128913443,0.17996112414717066,4,pvalue_bh
