method,alpha,total_rejections,fdp,recall
betting,0.05,18.780308836651223,0.016067681985245438,0.02923658193580913
betting,0.1,19.007893097342485,0.017303044860946876,0.021771534228168375
betting,0.15,20.53777008343408,0.02594740062277487,0.023893689267329342
betting,0.2,15.662056059151366,0.025088812627766233,0.01944762498152154
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,6.5802735505448355,0.04216576245626457,0.012446316782213697
pvalue_bh,0.1,7.602631123499284,0.03693073509201809,0.024593763737650112
pvalue_bh,0.15,6.340346993658938,0.026690208299165418,0.022434026188763962
pvalue_bh,0.2,14.976648490233067,0.022888444321402465,0.02270907563795228
