alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,251,99,161,28,133,0.17391304347826086,0.3144208037825059,0.044488711819389105,0.3485155403614044,0.044374881426674256,0.04816704459561602,140,25,115,0,scoregate_family_crc
0.1,251,154,291,77,214,0.2646048109965636,0.5059101654846335,0.09820717131474103,0.2418728768825531,0.09575270347182697,0.09934098639455782,282,73,209,0,scoregate_family_crc
0.15,251,199,459,144,315,0.3137254901960784,0.7446808510638298,0.13369128527905186,0.1785983443260193,0.14651469755696808,0.1499015439952341,447,154,293,0,scoregate_family_crc
0.2,251,211,576,226,350,0.3923611111111111,0.8274231678486997,0.20982687815357137,0.1396073102951049,0.19641924814762873,0.1996080606549794,570,234,336,0,scoregate_family_crc
0.05,251,99,199,56,143,0.2814070351758794,0.3163716814159292,0.06998154567875683,0.324588268995285,0.045484727755644085,0.04927248677248677,180,26,154,1,scoregate_family_crc
0.1,251,155,355,122,233,0.3436619718309859,0.5154867256637168,0.12519340626910347,0.230563998222351,0.0962032821096566,0.09978977702191988,335,80,255,1,scoregate_family_crc
0.15,251,193,541,209,332,0.38632162661737524,0.7345132743362832,0.17337605693007613,0.1783996224403381,0.14596720583300576,0.14935622485747796,489,150,339,1,scoregate_family_crc
0.2,251,207,656,287,369,0.4375,0.8163716814159292,0.21601011317146776,0.1437677294015884,0.19487457605280428,0.1980695182113249,629,250,379,1,scoregate_family_crc
0.05,251,94,145,22,123,0.15172413793103448,0.28018223234624146,0.037848605577689244,0.3567450940608978,0.045484727755644085,0.04927248677248677,134,19,115,2,scoregate_family_crc
0.1,251,127,238,65,173,0.27310924369747897,0.3940774487471526,0.08522576361221779,0.2736403346061706,0.0947875166002656,0.09837962962962964,223,51,172,2,scoregate_family_crc
0.15,251,196,452,159,293,0.35176991150442477,0.6674259681093394,0.15297527837368474,0.1930342316627502,0.14649266183130724,0.14987959571292903,416,125,291,2,scoregate_family_crc
0.2,251,206,565,223,342,0.39469026548672564,0.7790432801822323,0.1851290449778849,0.1609731614589691,0.19323069582033725,0.1964321613131137,531,199,332,2,scoregate_family_crc
0.05,251,94,165,25,140,0.15151515151515152,0.29045643153526973,0.04112122936824132,0.3481461405754089,0.045086321381142096,0.04887566137566138,150,30,120,3,scoregate_family_crc
0.1,251,140,283,68,215,0.24028268551236748,0.4460580912863071,0.08410772494437833,0.2562819421291351,0.09458831341301462,0.09818121693121694,285,76,209,3,scoregate_family_crc
0.15,251,198,534,182,352,0.3408239700374532,0.7302904564315352,0.16102200991467452,0.1781762242317199,0.1466004280104857,0.14998693424853934,489,168,321,3,scoregate_family_crc
0.2,251,205,659,264,395,0.4006069802731411,0.8195020746887967,0.1998592932035632,0.1435552835464477,0.19654083141164227,0.19972916144572309,613,267,346,3,scoregate_family_crc
0.05,251,78,116,16,100,0.13793103448275862,0.20964360587002095,0.028818061088977425,0.3638682961463928,0.042595850364774666,0.04639507318078747,168,34,134,4,scoregate_family_crc
0.1,251,126,228,46,182,0.20175438596491227,0.38155136268343814,0.059077973819009665,0.2758205831050873,0.09432818177838098,0.0979221175649747,250,71,179,4,scoregate_family_crc
0.15,251,188,441,120,321,0.272108843537415,0.6729559748427673,0.12197400872699678,0.1971700638532638,0.14652707849919006,0.14991387580673296,450,156,294,4,scoregate_family_crc
0.2,251,205,566,197,369,0.3480565371024735,0.7735849056603774,0.1695845765566881,0.1637679487466812,0.19662318646382393,0.19981118969214207,570,232,338,4,scoregate_family_crc
0.05,251,95,145,26,119,0.1793103448275862,0.26327433628318586,0.04634794156706507,0.3818254172801971,0.04473017022817819,0.04852092352092352,120,24,96,5,scoregate_family_crc
0.1,251,135,256,69,187,0.26953125,0.413716814159292,0.08442080274749597,0.2771064639091491,0.09629175605271223,0.09987789987789987,228,60,168,5,scoregate_family_crc
