alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,101,5,96,0.04950495049504951,0.22695035460992907,0.4806526601314544,0,score_oracle
0.1,123,12,111,0.0975609756097561,0.2624113475177305,0.4132749140262604,0,score_oracle
0.15,148,22,126,0.14864864864864866,0.2978723404255319,0.36542409658432,0,score_oracle
0.2,186,37,149,0.1989247311827957,0.35224586288416077,0.320755124092102,0,score_oracle
0.05,63,3,60,0.047619047619047616,0.13274336283185842,0.5821632742881775,1,score_oracle
0.1,90,9,81,0.1,0.17920353982300885,0.5148221850395203,1,score_oracle
0.15,109,16,93,0.14678899082568808,0.20575221238938052,0.4638074040412903,1,score_oracle
0.2,166,33,133,0.19879518072289157,0.2942477876106195,0.36542409658432,1,score_oracle
0.05,67,3,64,0.04477611940298507,0.14578587699316628,0.538877010345459,2,score_oracle
0.1,78,7,71,0.08974358974358974,0.16173120728929385,0.4944770336151123,2,score_oracle
0.15,129,19,110,0.14728682170542637,0.2505694760820046,0.3811519145965576,2,score_oracle
0.2,173,34,139,0.19653179190751446,0.31662870159453305,0.322374939918518,2,score_oracle
0.05,100,5,95,0.05,0.1970954356846473,0.4680406451225281,3,score_oracle
0.1,137,13,124,0.0948905109489051,0.2572614107883817,0.3874353766441345,3,score_oracle
0.15,162,24,138,0.14814814814814814,0.2863070539419087,0.3524463474750519,3,score_oracle
0.2,232,46,186,0.19827586206896552,0.38589211618257263,0.2870417237281799,3,score_oracle
0.05,60,3,57,0.05,0.11949685534591195,0.5082228183746338,4,score_oracle
0.1,100,10,90,0.1,0.18867924528301888,0.3919073045253753,4,score_oracle
0.15,143,21,122,0.14685314685314685,0.2557651991614256,0.343996912240982,4,score_oracle
0.2,226,45,181,0.19911504424778761,0.37945492662473795,0.2773163318634033,4,score_oracle
