bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500248633325099,0.05059412280097599,53,3,0.017218973359324236,0.0022641509433962265,0.13149163403346387
1,0.05059412280097599,0.05127779990434646,53,2,0.017218973359324236,0.0015094339622641509,0.08766108935564258
2,0.05127779990434646,0.05190762123093005,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
3,0.05190762123093005,0.052635104209184574,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
4,0.052635104209184574,0.05348033504560585,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
5,0.05348033504560585,0.05443063788115976,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
6,0.05443063788115976,0.055304740276187606,50,5,0.016244314489928524,0.0037735849056603774,0.23230188679245284
7,0.055304740276187606,0.05608373805880542,51,4,0.016569200779727095,0.0030188679245283017,0.18219755826859046
8,0.05608373805880542,0.05717620505020015,50,5,0.016244314489928524,0.0037735849056603774,0.23230188679245284
9,0.05717620505020015,0.05802259501069777,51,4,0.016569200779727095,0.0030188679245283017,0.18219755826859046
10,0.05802259501069777,0.05910646161064501,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
11,0.05910646161064501,0.05993559435009954,48,7,0.015594541910331383,0.005283018867924529,0.3387735849056604
12,0.05993559435009954,0.060894669219851434,53,2,0.017218973359324236,0.0015094339622641509,0.08766108935564258
13,0.060894669219851434,0.06212819851934909,53,2,0.017218973359324236,0.0015094339622641509,0.08766108935564258
14,0.06212819851934909,0.06351920496672386,51,4,0.016569200779727095,0.0030188679245283017,0.18219755826859046
15,0.06351920496672386,0.06449221670627589,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
16,0.06449221670627589,0.06556643825024362,48,7,0.015594541910331383,0.005283018867924529,0.3387735849056604
17,0.06556643825024362,0.0669256430119276,51,4,0.016569200779727095,0.0030188679245283017,0.18219755826859046
18,0.0669256430119276,0.06820764169096945,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
19,0.06820764169096945,0.0692917592823505,53,2,0.017218973359324236,0.0015094339622641509,0.08766108935564258
20,0.0692917592823505,0.07076859492808577,54,1,0.017543859649122806,0.0007547169811320754,0.0430188679245283
21,0.07076859492808577,0.07237492240965367,53,2,0.017218973359324236,0.0015094339622641509,0.08766108935564258
22,0.07237492240965367,0.0739287072792649,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
23,0.0739287072792649,0.07525605112314218,51,4,0.016569200779727095,0.0030188679245283017,0.18219755826859046
24,0.07525605112314218,0.07726286444813008,47,8,0.015269655620532813,0.0060377358490566035,0.3954074668807708
25,0.07726286444813008,0.07899796403944487,52,3,0.016894087069525665,0.0022641509433962265,0.1340203193033382
26,0.07899796403944487,0.08035196848213665,51,4,0.016569200779727095,0.0030188679245283017,0.18219755826859046
27,0.08035196848213665,0.08204405233263969,48,7,0.015594541910331383,0.005283018867924529,0.3387735849056604
28,0.08204405233263969,0.08431265149265521,50,5,0.016244314489928524,0.0037735849056603774,0.23230188679245284
29,0.08431265149265521,0.08622141554951662,48,7,0.015594541910331383,0.005283018867924529,0.3387735849056604
30,0.08622141554951662,0.0882545365020632,49,6,0.015919428200129954,0.004528301886792453,0.2844512899499423
31,0.0882545365020632,0.09113633036613462,49,6,0.015919428200129954,0.004528301886792453,0.2844512899499423
32,0.09113633036613462,0.0930856363847851,50,5,0.016244314489928524,0.0037735849056603774,0.23230188679245284
33,0.0930856363847851,0.09601836800575249,53,2,0.017218973359324236,0.0015094339622641509,0.08766108935564258
