bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500021502375602,0.05044862031936637,213,5,0.013556315722792348,0.0033500837520938024,0.24712346780632133
1,0.05044862031936637,0.05086921378970138,212,6,0.013492968453059672,0.003908431044109436,0.28966428386061766
2,0.05086921378970138,0.05132110938429825,216,2,0.013746357531990371,0.0016750418760469012,0.12185350716717228
3,0.05132110938429825,0.05172582566738126,213,4,0.013556315722792348,0.0027917364600781687,0.20593622317193444
4,0.05172582566738126,0.05222403258085245,205,13,0.013049537564930951,0.007816862088218872,0.599014489925355
5,0.05222403258085245,0.05264933928847304,215,3,0.013683010262257697,0.002233389168062535,0.16322352503257026
6,0.05264933928847304,0.0530858714133501,209,8,0.01330292664386165,0.005025125628140704,0.377745872218234
7,0.0530858714133501,0.05359526798129078,212,6,0.013492968453059672,0.003908431044109436,0.28966428386061766
8,0.05359526798129078,0.05411137975752347,209,9,0.01330292664386165,0.005583472920156337,0.41971763579803784
9,0.05411137975752347,0.0546782910823822,210,7,0.013366273913594325,0.00446677833612507,0.33418276215199216
10,0.0546782910823822,0.055182959139347,213,5,0.013556315722792348,0.0033500837520938024,0.24712346780632133
11,0.055182959139347,0.05571897476911538,210,8,0.013366273913594325,0.005025125628140704,0.3759556074209912
12,0.05571897476911538,0.05629636347293852,216,2,0.013746357531990371,0.0016750418760469012,0.12185350716717228
13,0.05629636347293852,0.05686717778444286,211,6,0.013429621183326999,0.003908431044109436,0.29103062482222436
14,0.05686717778444286,0.0574913844466209,207,11,0.0131762321043963,0.006700167504187605,0.508504058755315
15,0.0574913844466209,0.05808211192488668,213,5,0.013556315722792348,0.0033500837520938024,0.24712346780632133
16,0.05808211192488668,0.05879826508462424,208,9,0.013239579374128976,0.005583472920156337,0.42172585415113845
17,0.05879826508462424,0.05944570675492282,213,5,0.013556315722792348,0.0033500837520938024,0.24712346780632133
18,0.05944570675492282,0.06024381592869758,213,5,0.013556315722792348,0.0033500837520938024,0.24712346780632133
19,0.06024381592869758,0.0609372332692146,214,3,0.013619662992525022,0.002233389168062535,0.16398270421876826
20,0.0609372332692146,0.061595800518989476,207,11,0.0131762321043963,0.006700167504187605,0.508504058755315
