method,alpha,total_rejections,fdp,recall
betting,0.05,34.7,0.018076108033004586,0.07830762935786079
betting,0.1,43.45,0.025365167004640882,0.09723534819774918
betting,0.15,49.65,0.02389112795995723,0.11136169584922906
betting,0.2,57.0,0.026620590905850387,0.12737286072509796
binary,0.05,1.5,0.0,0.0033936651583710404
binary,0.1,2.05,0.0,0.004638009049773756
binary,0.15,2.95,0.00423728813559322,0.006108597285067873
binary,0.2,20.0,0.019099995816371878,0.04117406527623947
pvalue_bh,0.05,105.4,0.07770631698317974,0.2228381951462243
pvalue_bh,0.1,167.65,0.11460605732025897,0.3395956681816867
pvalue_bh,0.15,236.8,0.1558332767825425,0.4577706608755377
pvalue_bh,0.2,294.75,0.19259116910961718,0.5448474200353269
