bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500039309263229,0.05067848386242982,53,2,0.017672557519173057,0.0014545454545454545,0.08230531732418525
1,0.05067848386242982,0.051400467101484465,50,5,0.016672224074691565,0.0036363636363636364,0.2181090909090909
2,0.051400467101484465,0.052111962204799044,52,2,0.017339113037679228,0.0014545454545454545,0.08388811188811188
3,0.052111962204799044,0.05301630385220049,53,2,0.017672557519173057,0.0014545454545454545,0.08230531732418525
4,0.05301630385220049,0.05400641681626433,48,7,0.016005335111703902,0.005090909090909091,0.31807575757575757
5,0.05400641681626433,0.055056451447308,49,5,0.01633877959319773,0.0036363636363636364,0.22256029684601114
6,0.055056451447308,0.055871168896555884,50,5,0.016672224074691565,0.0036363636363636364,0.2181090909090909
7,0.055871168896555884,0.05681448876857755,46,9,0.01533844614871624,0.006545454545454545,0.4267351778656126
8,0.05681448876857755,0.057803444424644065,51,3,0.017005668556185394,0.002181818181818182,0.12829946524064173
9,0.057803444424644065,0.05896832095459102,53,2,0.017672557519173057,0.0014545454545454545,0.08230531732418525
10,0.05896832095459102,0.05990256401710211,49,6,0.01633877959319773,0.004363636363636364,0.26707235621521336
11,0.05990256401710211,0.06077800244092937,52,2,0.017339113037679228,0.0014545454545454545,0.08388811188811188
12,0.06077800244092937,0.061938563035800996,51,4,0.017005668556185394,0.002909090909090909,0.17106595365418895
13,0.061938563035800996,0.06352086272090667,53,2,0.017672557519173057,0.0014545454545454545,0.08230531732418525
14,0.06352086272090667,0.06462966697290534,49,5,0.01633877959319773,0.0036363636363636364,0.22256029684601114
15,0.06462966697290534,0.0658651694655418,50,5,0.016672224074691565,0.0036363636363636364,0.2181090909090909
16,0.0658651694655418,0.06695563877001404,50,5,0.016672224074691565,0.0036363636363636364,0.2181090909090909
17,0.06695563877001404,0.06833468861877913,51,3,0.017005668556185394,0.002181818181818182,0.12829946524064173
18,0.06833468861877913,0.0697065183892846,53,2,0.017672557519173057,0.0014545454545454545,0.08230531732418525
19,0.0697065183892846,0.07126185111701487,53,2,0.017672557519173057,0.0014545454545454545,0.08230531732418525
20,0.07126185111701487,0.07260587085038424,48,6,0.016005335111703902,0.004363636363636364,0.2726363636363636
21,0.07260587085038424,0.0744563069194555,51,4,0.017005668556185394,0.002909090909090909,0.17106595365418895
22,0.0744563069194555,0.07580901477485891,47,8,0.01567189063021007,0.005818181818181818,0.3712495164410058
23,0.07580901477485891,0.07745839282870284,48,6,0.016005335111703902,0.004363636363636364,0.2726363636363636
24,0.07745839282870284,0.07939577987417573,50,5,0.016672224074691565,0.0036363636363636364,0.2181090909090909
25,0.07939577987417573,0.08103481642901897,45,10,0.015005001667222408,0.007272727272727273,0.48468686868686867
26,0.08103481642901897,0.08309133807197207,50,4,0.016672224074691565,0.002909090909090909,0.1744872727272727
27,0.08309133807197207,0.08504279293119905,50,5,0.016672224074691565,0.0036363636363636364,0.2181090909090909
28,0.08504279293119905,0.08747378811240193,47,8,0.01567189063021007,0.005818181818181818,0.3712495164410058
29,0.08747378811240193,0.0900903129950165,48,6,0.016005335111703902,0.004363636363636364,0.2726363636363636
30,0.0900903129950165,0.09223174555227152,52,3,0.017339113037679228,0.002181818181818182,0.12583216783216783
31,0.09223174555227152,0.09442988485097875,49,6,0.01633877959319773,0.004363636363636364,0.26707235621521336
32,0.09442988485097875,0.09698353577405215,51,3,0.017005668556185394,0.002181818181818182,0.12829946524064173
33,0.09698353577405215,0.09926848188042639,50,5,0.016672224074691565,0.0036363636363636364,0.2181090909090909
34,0.09926848188042639,0.10242507653310891,52,3,0.017339113037679228,0.002181818181818182,0.12583216783216783
35,0.10242507653310891,0.10524299442768095,50,4,0.016672224074691565,0.002909090909090909,0.1744872727272727
36,0.10524299442768095,0.10859599439427256,49,6,0.01633877959319773,0.004363636363636364,0.26707235621521336
37,0.10859599439427256,0.11109988056123254,48,7,0.016005335111703902,0.005090909090909091,0.31807575757575757
38,0.11109988056123254,0.11451736763119691,43,11,0.014338112704234745,0.008,0.557953488372093
39,0.11451736763119691,0.11765549704432485,47,8,0.01567189063021007,0.005818181818181818,0.3712495164410058
40,0.11765549704432485,0.12193890102207659,48,7,0.016005335111703902,0.005090909090909091,0.31807575757575757
41,0.12193890102207659,0.12599076926708225,46,8,0.01533844614871624,0.005818181818181818,0.37932015810276676
42,0.12599076926708225,0.1296027390286326,44,11,0.014671557185728577,0.008,0.5452727272727272
43,0.1296027390286326,0.13462370559573167,41,14,0.013671223741247083,0.010181818181818183,0.7447627494456763
44,0.13462370559573167,0.14061894919723272,45,9,0.015005001667222408,0.006545454545454545,0.4362181818181818
45,0.14061894919723272,0.14557625390589235,46,9,0.01533844614871624,0.006545454545454545,0.4267351778656126
