alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,193,37,42,0,42,0.0,0.17796610169491525,0.0,0.3,346,0,betting,K<=5
0.05,53,5,11,0,11,0.0,0.07096774193548387,0.0,0.3,509,0,betting,5<K<=30
0.05,5,0,0,0,0,0.0,0.0,0.0,0.3,204,0,betting,K>30
0.1,193,51,58,0,58,0.0,0.2457627118644068,0.0,0.3,346,0,betting,K<=5
0.1,53,9,16,1,15,0.0625,0.0967741935483871,0.009433962264150943,0.3,509,0,betting,5<K<=30
0.1,5,0,0,0,0,0.0,0.0,0.0,0.3,204,0,betting,K>30
0.15,193,59,69,2,67,0.028985507246376812,0.2838983050847458,0.007772020725388601,0.3,346,0,betting,K<=5
0.15,53,16,30,5,25,0.16666666666666666,0.16129032258064516,0.03773584905660377,0.3,509,0,betting,5<K<=30
0.15,5,0,0,0,0,0.0,0.0,0.0,0.3,204,0,betting,K>30
0.2,193,65,78,3,75,0.038461538461538464,0.3177966101694915,0.010362694300518135,0.3,346,0,betting,K<=5
0.2,53,21,47,10,37,0.2127659574468085,0.23870967741935484,0.06918238993710692,0.3,509,0,betting,5<K<=30
0.2,5,0,0,0,0,0.0,0.0,0.0,0.3,204,0,betting,K>30
0.05,67,9,14,2,12,0.14285714285714285,0.05853658536585366,0.005970149253731343,0.3,695,1,betting,5<K<=30
0.05,178,38,42,0,42,0.0,0.20192307692307693,0.0,0.3,322,1,betting,K<=5
0.05,6,0,0,0,0,0.0,0.0,0.0,0.3,262,1,betting,K>30
0.1,67,10,15,2,13,0.13333333333333333,0.06341463414634146,0.005970149253731343,0.3,695,1,betting,5<K<=30
0.1,178,39,43,0,43,0.0,0.20673076923076922,0.0,0.3,322,1,betting,K<=5
0.1,6,0,0,0,0,0.0,0.0,0.0,0.3,262,1,betting,K>30
0.15,67,23,41,12,29,0.2926829268292683,0.14146341463414633,0.05024875621890547,0.3,695,1,betting,5<K<=30
0.15,178,44,52,0,52,0.0,0.25,0.0,0.3,322,1,betting,K<=5
0.15,6,1,7,4,3,0.5714285714285714,0.07692307692307693,0.09523809523809523,0.3,262,1,betting,K>30
0.2,67,30,71,22,49,0.30985915492957744,0.23902439024390243,0.10140208050655812,0.3,695,1,betting,5<K<=30
0.2,178,51,60,1,59,0.016666666666666666,0.28365384615384615,0.0056179775280898875,0.3,322,1,betting,K<=5
0.2,6,2,12,5,7,0.4166666666666667,0.1794871794871795,0.12857142857142856,0.3,262,1,betting,K>30
0.05,7,0,0,0,0,0.0,0.0,0.0,0.3,291,2,betting,K>30
0.05,178,34,38,0,38,0.0,0.18536585365853658,0.0,0.3,326,2,betting,K<=5
0.05,66,7,10,0,10,0.0,0.04608294930875576,0.0,0.3,701,2,betting,5<K<=30
0.1,7,0,0,0,0,0.0,0.0,0.0,0.3,291,2,betting,K>30
0.1,178,38,44,0,44,0.0,0.2146341463414634,0.0,0.3,326,2,betting,K<=5
0.1,66,7,12,0,12,0.0,0.055299539170506916,0.0,0.3,701,2,betting,5<K<=30
0.15,7,0,0,0,0,0.0,0.0,0.0,0.3,291,2,betting,K>30
0.15,178,42,49,0,49,0.0,0.23902439024390243,0.0,0.3,326,2,betting,K<=5
0.15,66,11,18,1,17,0.05555555555555555,0.07834101382488479,0.015151515151515152,0.3,701,2,betting,5<K<=30
0.2,7,2,6,4,2,0.6666666666666666,0.11764705882352941,0.19047619047619047,0.3,291,2,betting,K>30
0.2,178,48,55,0,55,0.0,0.2682926829268293,0.0,0.3,326,2,betting,K<=5
0.2,66,23,39,7,32,0.1794871794871795,0.14746543778801843,0.07575757575757576,0.3,701,2,betting,5<K<=30
0.05,73,7,18,0,18,0.0,0.06691449814126393,0.0,0.3,785,3,betting,5<K<=30
0.05,172,34,39,0,39,0.0,0.21081081081081082,0.0,0.3,287,3,betting,K<=5
0.05,6,0,0,0,0,0.0,0.0,0.0,0.3,218,3,betting,K>30
0.1,73,9,20,0,20,0.0,0.07434944237918216,0.0,0.3,785,3,betting,5<K<=30
0.1,172,37,42,0,42,0.0,0.22702702702702704,0.0,0.3,287,3,betting,K<=5
0.1,6,0,0,0,0,0.0,0.0,0.0,0.3,218,3,betting,K>30
0.15,73,16,31,2,29,0.06451612903225806,0.10780669144981413,0.0136986301369863,0.3,785,3,betting,5<K<=30
0.15,172,44,52,1,51,0.019230769230769232,0.2756756756756757,0.005813953488372093,0.3,287,3,betting,K<=5
0.15,6,1,7,4,3,0.5714285714285714,0.10714285714285714,0.09523809523809523,0.3,218,3,betting,K>30
0.2,73,21,53,2,51,0.03773584905660377,0.1895910780669145,0.0136986301369863,0.3,785,3,betting,5<K<=30
0.2,172,44,52,1,51,0.019230769230769232,0.2756756756756757,0.005813953488372093,0.3,287,3,betting,K<=5
0.2,6,1,7,4,3,0.5714285714285714,0.10714285714285714,0.09523809523809523,0.3,218,3,betting,K>30
0.05,167,27,28,0,28,0.0,0.13526570048309178,0.0,0.3,306,4,betting,K<=5
0.05,76,5,6,0,6,0.0,0.02564102564102564,0.0,0.3,772,4,betting,5<K<=30
0.05,8,1,1,1,0,1.0,0.0,0.125,0.3,265,4,betting,K>30
0.1,167,29,31,0,31,0.0,0.1497584541062802,0.0,0.3,306,4,betting,K<=5
0.1,76,11,12,0,12,0.0,0.05128205128205128,0.0,0.3,772,4,betting,5<K<=30
0.1,8,1,1,1,0,1.0,0.0,0.125,0.3,265,4,betting,K>30
0.15,167,36,39,0,39,0.0,0.18840579710144928,0.0,0.3,306,4,betting,K<=5
0.15,76,12,15,0,15,0.0,0.0641025641025641,0.0,0.3,772,4,betting,5<K<=30
0.15,8,1,1,1,0,1.0,0.0,0.125,0.3,265,4,betting,K>30
0.2,167,39,42,0,42,0.0,0.2028985507246377,0.0,0.3,306,4,betting,K<=5
0.2,76,15,24,2,22,0.08333333333333333,0.09401709401709402,0.013157894736842105,0.3,772,4,betting,5<K<=30
0.2,8,1,1,1,0,1.0,0.0,0.125,0.3,265,4,betting,K>30
