alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,101,5,96,0.04950495049504951,0.22695035460992907,0.4806526601314544,0,score_oracle
0.1,123,12,111,0.0975609756097561,0.2624113475177305,0.4132749140262604,0,score_oracle
0.15,148,22,126,0.14864864864864866,0.2978723404255319,0.36542409658432,0,score_oracle
0.2,186,37,149,0.1989247311827957,0.35224586288416077,0.320755124092102,0,score_oracle
0.05,63,3,60,0.047619047619047616,0.13274336283185842,0.5821632742881775,1,score_oracle
0.1,90,9,81,0.1,0.17920353982300885,0.5148221850395203,1,score_oracle
0.15,109,16,93,0.14678899082568808,0.20575221238938052,0.4638074040412903,1,score_oracle
0.2,166,33,133,0.19879518072289157,0.2942477876106195,0.36542409658432,1,score_oracle
0.05,67,3,64,0.04477611940298507,0.14578587699316628,0.538877010345459,2,score_oracle
0.1,78,7,71,0.08974358974358974,0.16173120728929385,0.4944770336151123,2,score_oracle
0.15,129,19,110,0.14728682170542637,0.2505694760820046,0.3811519145965576,2,score_oracle
0.2,173,34,139,0.19653179190751446,0.31662870159453305,0.322374939918518,2,score_oracle
0.05,100,5,95,0.05,0.1970954356846473,0.4680406451225281,3,score_oracle
0.1,137,13,124,0.0948905109489051,0.2572614107883817,0.3874353766441345,3,score_oracle
0.15,162,24,138,0.14814814814814814,0.2863070539419087,0.3524463474750519,3,score_oracle
0.2,232,46,186,0.19827586206896552,0.38589211618257263,0.2870417237281799,3,score_oracle
0.05,60,3,57,0.05,0.11949685534591195,0.5082228183746338,4,score_oracle
0.1,100,10,90,0.1,0.18867924528301888,0.3919073045253753,4,score_oracle
0.15,143,21,122,0.14685314685314685,0.2557651991614256,0.343996912240982,4,score_oracle
0.2,226,45,181,0.19911504424778761,0.37945492662473795,0.2773163318634033,4,score_oracle
0.05,70,3,67,0.04285714285714286,0.14823008849557523,0.5666883587837219,5,score_oracle
0.1,94,9,85,0.09574468085106383,0.18805309734513273,0.4808244705200195,5,score_oracle
0.15,128,19,109,0.1484375,0.2411504424778761,0.4062953591346741,5,score_oracle
0.2,155,31,124,0.2,0.2743362831858407,0.3672908842563629,5,score_oracle
0.05,68,3,65,0.04411764705882353,0.15402843601895735,0.5282808542251587,6,score_oracle
0.1,84,8,76,0.09523809523809523,0.18009478672985782,0.4727691113948822,6,score_oracle
0.15,132,19,113,0.14393939393939395,0.2677725118483412,0.375800222158432,6,score_oracle
0.2,156,31,125,0.1987179487179487,0.2962085308056872,0.3419350087642669,6,score_oracle
0.05,62,3,59,0.04838709677419355,0.15485564304461943,0.5467180013656616,7,score_oracle
0.1,101,10,91,0.09900990099009901,0.2388451443569554,0.4075104594230652,7,score_oracle
0.15,123,18,105,0.14634146341463414,0.2755905511811024,0.3564047813415527,7,score_oracle
0.2,200,40,160,0.2,0.4199475065616798,0.270895779132843,7,score_oracle
0.05,64,3,61,0.046875,0.13895216400911162,0.5389840602874756,8,score_oracle
0.1,101,10,91,0.09900990099009901,0.2072892938496583,0.4232591092586517,8,score_oracle
0.15,109,16,93,0.14678899082568808,0.21184510250569477,0.399811714887619,8,score_oracle
0.2,138,27,111,0.1956521739130435,0.2528473804100228,0.3531660735607147,8,score_oracle
0.05,81,4,77,0.04938271604938271,0.17539863325740318,0.4670973718166351,9,score_oracle
0.1,125,12,113,0.096,0.25740318906605925,0.3580183684825897,9,score_oracle
0.15,157,23,134,0.1464968152866242,0.3052391799544419,0.33267542719841,9,score_oracle
0.2,243,48,195,0.19753086419753085,0.44419134396355353,0.2785193026065826,9,score_oracle
0.05,63,3,60,0.047619047619047616,0.13303769401330376,0.5944516658782959,10,score_oracle
0.1,67,6,61,0.08955223880597014,0.1352549889135255,0.5725142955780029,10,score_oracle
0.15,103,15,88,0.14563106796116504,0.1951219512195122,0.4310075342655182,10,score_oracle
0.2,235,47,188,0.2,0.41685144124168516,0.2816698253154754,10,score_oracle
0.05,85,4,81,0.047058823529411764,0.18040089086859687,0.4700739085674286,11,score_oracle
0.1,114,11,103,0.09649122807017543,0.22939866369710468,0.3774035573005676,11,score_oracle
0.15,129,19,110,0.14728682170542637,0.24498886414253898,0.3576613068580627,11,score_oracle
0.2,161,32,129,0.19875776397515527,0.2873051224944321,0.3165836036205292,11,score_oracle
0.05,84,4,80,0.047619047619047616,0.18561484918793503,0.5566719174385071,12,score_oracle
0.1,112,11,101,0.09821428571428571,0.23433874709976799,0.4215810596942901,12,score_oracle
0.15,141,21,120,0.14893617021276595,0.27842227378190254,0.3473341464996338,12,score_oracle
0.2,160,32,128,0.2,0.29698375870069604,0.3294089436531067,12,score_oracle
0.05,65,3,62,0.046153846153846156,0.1486810551558753,0.5684888362884521,13,score_oracle
0.1,90,9,81,0.1,0.19424460431654678,0.465686172246933,13,score_oracle
0.15,134,20,114,0.14925373134328357,0.2733812949640288,0.3659296631813049,13,score_oracle
0.2,143,28,115,0.1958041958041958,0.27577937649880097,0.3514472246170044,13,score_oracle
0.05,84,4,80,0.047619047619047616,0.18140589569160998,0.500129759311676,14,score_oracle
0.1,112,11,101,0.09821428571428571,0.2290249433106576,0.418362408876419,14,score_oracle
0.15,135,20,115,0.14814814814814814,0.26077097505668934,0.3567450940608978,14,score_oracle
0.2,155,31,124,0.2,0.2811791383219955,0.3341410756111145,14,score_oracle
0.05,84,4,80,0.047619047619047616,0.1951219512195122,0.4753234386444092,15,score_oracle
0.1,115,11,104,0.09565217391304348,0.25365853658536586,0.3747856914997101,15,score_oracle
0.15,136,20,116,0.14705882352941177,0.28292682926829266,0.3470002710819244,15,score_oracle
0.2,212,42,170,0.19811320754716982,0.4146341463414634,0.2699877619743347,15,score_oracle
0.05,66,3,63,0.045454545454545456,0.14416475972540047,0.5630577802658081,16,score_oracle
0.1,100,10,90,0.1,0.20594965675057209,0.4058336317539215,16,score_oracle
0.15,116,17,99,0.14655172413793102,0.22654462242562928,0.3641891181468963,16,score_oracle
0.2,220,44,176,0.2,0.40274599542334094,0.2839595079421997,16,score_oracle
0.05,71,3,68,0.04225352112676056,0.15384615384615385,0.5659621953964233,17,score_oracle
0.1,116,11,105,0.09482758620689655,0.23755656108597284,0.4218012690544128,17,score_oracle
0.15,134,20,114,0.14925373134328357,0.2579185520361991,0.4002509117126465,17,score_oracle
0.2,165,33,132,0.2,0.2986425339366516,0.357086569070816,17,score_oracle
0.05,82,4,78,0.04878048780487805,0.18571428571428572,0.4881272912025451,18,score_oracle
