alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.05,123,24,27,0,27,0.0,0.25,0.0,0.4,132,0,betting,K<=2
0.05,70,13,15,0,15,0.0,0.1171875,0.0,0.4,249,0,betting,3<=K<=5
0.05,19,3,7,0,7,0.0,0.11666666666666667,0.0,0.4,243,0,betting,11<=K<=20
0.05,7,1,3,0,3,0.0,0.07142857142857142,0.0,0.4,192,0,betting,21<=K<=50
0.05,30,1,1,0,1,0.0,0.01282051282051282,0.0,0.4,204,0,betting,6<=K<=10
0.05,2,0,0,0,0,0.0,0.0,0.0,0.4,117,0,betting,K>50
0.1,123,33,38,0,38,0.0,0.35185185185185186,0.0,0.4,132,0,betting,K<=2
0.1,70,20,22,0,22,0.0,0.171875,0.0,0.4,249,0,betting,3<=K<=5
0.1,19,6,13,1,12,0.07692307692307693,0.2,0.02631578947368421,0.4,243,0,betting,11<=K<=20
0.1,7,1,3,0,3,0.0,0.07142857142857142,0.0,0.4,192,0,betting,21<=K<=50
0.1,30,3,3,0,3,0.0,0.038461538461538464,0.0,0.4,204,0,betting,6<=K<=10
0.1,2,0,0,0,0,0.0,0.0,0.0,0.4,117,0,betting,K>50
0.15,123,33,38,0,38,0.0,0.35185185185185186,0.0,0.4,132,0,betting,K<=2
0.15,70,20,22,0,22,0.0,0.171875,0.0,0.4,249,0,betting,3<=K<=5
0.15,19,7,15,3,12,0.2,0.2,0.07894736842105263,0.4,243,0,betting,11<=K<=20
0.15,7,1,3,0,3,0.0,0.07142857142857142,0.0,0.4,192,0,betting,21<=K<=50
0.15,30,6,8,1,7,0.125,0.08974358974358974,0.01111111111111111,0.4,204,0,betting,6<=K<=10
0.15,2,0,0,0,0,0.0,0.0,0.0,0.4,117,0,betting,K>50
0.2,123,34,40,0,40,0.0,0.37037037037037035,0.0,0.4,132,0,betting,K<=2
0.2,70,25,30,1,29,0.03333333333333333,0.2265625,0.007142857142857143,0.4,249,0,betting,3<=K<=5
0.2,19,10,22,6,16,0.2727272727272727,0.26666666666666666,0.13157894736842105,0.4,243,0,betting,11<=K<=20
0.2,7,5,17,4,13,0.23529411764705882,0.30952380952380953,0.16428571428571428,0.4,192,0,betting,21<=K<=50
0.2,30,9,15,3,12,0.2,0.15384615384615385,0.041666666666666664,0.4,204,0,betting,6<=K<=10
0.2,2,2,5,3,2,0.6,0.2857142857142857,0.6666666666666666,0.4,117,0,betting,K>50
0.05,22,3,4,0,4,0.0,0.058823529411764705,0.0,0.4,300,1,betting,11<=K<=20
0.05,58,14,16,0,16,0.0,0.1509433962264151,0.0,0.4,210,1,betting,3<=K<=5
0.05,36,6,6,0,6,0.0,0.061224489795918366,0.0,0.4,253,1,betting,6<=K<=10
0.05,120,24,26,0,26,0.0,0.2549019607843137,0.0,0.4,130,1,betting,K<=2
0.05,14,1,5,2,3,0.4,0.046153846153846156,0.028571428571428574,0.4,355,1,betting,21<=K<=50
0.05,1,0,0,0,0,0.0,0.0,0.0,0.4,117,1,betting,K>50
0.1,22,3,4,0,4,0.0,0.058823529411764705,0.0,0.4,300,1,betting,11<=K<=20
0.1,58,15,17,0,17,0.0,0.16037735849056603,0.0,0.4,210,1,betting,3<=K<=5
0.1,36,6,6,0,6,0.0,0.061224489795918366,0.0,0.4,253,1,betting,6<=K<=10
0.1,120,24,26,0,26,0.0,0.2549019607843137,0.0,0.4,130,1,betting,K<=2
0.1,14,2,6,2,4,0.3333333333333333,0.06153846153846154,0.028571428571428574,0.4,355,1,betting,21<=K<=50
0.1,1,0,0,0,0,0.0,0.0,0.0,0.4,117,1,betting,K>50
0.15,22,5,8,1,7,0.125,0.10294117647058823,0.022727272727272728,0.4,300,1,betting,11<=K<=20
0.15,58,15,21,0,21,0.0,0.19811320754716982,0.0,0.4,210,1,betting,3<=K<=5
0.15,36,12,15,0,15,0.0,0.15306122448979592,0.0,0.4,253,1,betting,6<=K<=10
0.15,120,26,28,0,28,0.0,0.27450980392156865,0.0,0.4,130,1,betting,K<=2
0.15,14,6,29,12,17,0.41379310344827586,0.26153846153846155,0.1086734693877551,0.4,355,1,betting,21<=K<=50
0.15,1,0,0,0,0,0.0,0.0,0.0,0.4,117,1,betting,K>50
0.2,22,10,18,7,11,0.3888888888888889,0.16176470588235295,0.1590909090909091,0.4,300,1,betting,11<=K<=20
0.2,58,16,22,0,22,0.0,0.20754716981132076,0.0,0.4,210,1,betting,3<=K<=5
0.2,36,14,20,1,19,0.05,0.19387755102040816,0.009259259259259259,0.4,253,1,betting,6<=K<=10
0.2,120,30,33,0,33,0.0,0.3235294117647059,0.0,0.4,130,1,betting,K<=2
0.2,14,9,42,17,25,0.40476190476190477,0.38461538461538464,0.19990723562152132,0.4,355,1,betting,21<=K<=50
0.2,1,1,7,2,5,0.2857142857142857,0.38461538461538464,0.2857142857142857,0.4,117,1,betting,K>50
0.05,3,0,0,0,0,0.0,0.0,0.0,0.4,174,2,betting,K>50
0.05,112,22,24,0,24,0.0,0.26373626373626374,0.0,0.4,128,2,betting,K<=2
0.05,66,12,14,0,14,0.0,0.12280701754385964,0.0,0.4,228,2,betting,3<=K<=5
0.05,26,4,7,0,7,0.0,0.07216494845360824,0.0,0.4,353,2,betting,11<=K<=20
0.05,34,3,3,0,3,0.0,0.034482758620689655,0.0,0.4,246,2,betting,6<=K<=10
0.05,10,0,0,0,0,0.0,0.0,0.0,0.4,275,2,betting,21<=K<=50
0.1,3,0,0,0,0,0.0,0.0,0.0,0.4,174,2,betting,K>50
0.1,112,23,25,0,25,0.0,0.27472527472527475,0.0,0.4,128,2,betting,K<=2
0.1,66,16,20,0,20,0.0,0.17543859649122806,0.0,0.4,228,2,betting,3<=K<=5
0.1,26,5,9,0,9,0.0,0.09278350515463918,0.0,0.4,353,2,betting,11<=K<=20
0.1,34,3,4,0,4,0.0,0.04597701149425287,0.0,0.4,246,2,betting,6<=K<=10
0.1,10,1,1,0,1,0.0,0.023255813953488372,0.0,0.4,275,2,betting,21<=K<=50
0.15,3,1,3,1,2,0.3333333333333333,0.2857142857142857,0.1111111111111111,0.4,174,2,betting,K>50
0.15,112,24,26,0,26,0.0,0.2857142857142857,0.0,0.4,128,2,betting,K<=2
0.15,66,20,25,0,25,0.0,0.21929824561403508,0.0,0.4,228,2,betting,3<=K<=5
0.15,26,9,17,0,17,0.0,0.17525773195876287,0.0,0.4,353,2,betting,11<=K<=20
0.15,34,6,7,1,6,0.14285714285714285,0.06896551724137931,0.029411764705882353,0.4,246,2,betting,6<=K<=10
0.15,10,3,6,3,3,0.5,0.06976744186046512,0.1,0.4,275,2,betting,21<=K<=50
0.2,3,1,3,1,2,0.3333333333333333,0.2857142857142857,0.1111111111111111,0.4,174,2,betting,K>50
0.2,112,26,28,0,28,0.0,0.3076923076923077,0.0,0.4,128,2,betting,K<=2
0.2,66,21,26,0,26,0.0,0.22807017543859648,0.0,0.4,228,2,betting,3<=K<=5
0.2,26,10,21,3,18,0.14285714285714285,0.18556701030927836,0.057692307692307696,0.4,353,2,betting,11<=K<=20
0.2,34,10,13,4,9,0.3076923076923077,0.10344827586206896,0.07352941176470588,0.4,246,2,betting,6<=K<=10
0.2,10,6,12,4,8,0.3333333333333333,0.18604651162790697,0.2,0.4,275,2,betting,21<=K<=50
0.05,36,2,2,0,2,0.0,0.018518518518518517,0.0,0.4,265,3,betting,6<=K<=10
0.05,52,10,12,0,12,0.0,0.13953488372093023,0.0,0.4,178,3,betting,3<=K<=5
0.05,28,4,9,0,9,0.0,0.08823529411764706,0.0,0.4,370,3,betting,11<=K<=20
0.05,120,25,28,0,28,0.0,0.2828282828282828,0.0,0.4,135,3,betting,K<=2
0.05,14,1,7,0,7,0.0,0.08536585365853659,0.0,0.4,370,3,betting,21<=K<=50
0.05,1,0,0,0,0,0.0,0.0,0.0,0.4,61,3,betting,K>50
0.1,36,2,2,0,2,0.0,0.018518518518518517,0.0,0.4,265,3,betting,6<=K<=10
0.1,52,12,14,0,14,0.0,0.16279069767441862,0.0,0.4,178,3,betting,3<=K<=5
0.1,28,6,11,0,11,0.0,0.10784313725490197,0.0,0.4,370,3,betting,11<=K<=20
0.1,120,25,28,0,28,0.0,0.2828282828282828,0.0,0.4,135,3,betting,K<=2
0.1,14,1,7,0,7,0.0,0.08536585365853659,0.0,0.4,370,3,betting,21<=K<=50
0.1,1,0,0,0,0,0.0,0.0,0.0,0.4,61,3,betting,K>50
0.15,36,8,9,1,8,0.1111111111111111,0.07407407407407407,0.013888888888888888,0.4,265,3,betting,6<=K<=10
0.15,52,15,20,1,19,0.05,0.22093023255813954,0.019230769230769232,0.4,178,3,betting,3<=K<=5
0.15,28,14,28,3,25,0.10714285714285714,0.24509803921568626,0.07142857142857142,0.4,370,3,betting,11<=K<=20
0.15,120,29,32,0,32,0.0,0.32323232323232326,0.0,0.4,135,3,betting,K<=2
0.15,14,9,38,6,32,0.15789473684210525,0.3902439024390244,0.11224489795918367,0.4,370,3,betting,21<=K<=50
0.15,1,1,2,2,0,1.0,0.0,1.0,0.4,61,3,betting,K>50
0.2,36,8,9,1,8,0.1111111111111111,0.07407407407407407,0.013888888888888888,0.4,265,3,betting,6<=K<=10
0.2,52,15,20,1,19,0.05,0.22093023255813954,0.019230769230769232,0.4,178,3,betting,3<=K<=5
0.2,28,14,28,3,25,0.10714285714285714,0.24509803921568626,0.07142857142857142,0.4,370,3,betting,11<=K<=20
0.2,120,29,32,0,32,0.0,0.32323232323232326,0.0,0.4,135,3,betting,K<=2
0.2,14,9,38,6,32,0.15789473684210525,0.3902439024390244,0.11224489795918367,0.4,370,3,betting,21<=K<=50
0.2,1,1,2,2,0,1.0,0.0,1.0,0.4,61,3,betting,K>50
0.05,108,18,19,0,19,0.0,0.2,0.0,0.4,118,4,betting,K<=2
0.05,59,10,10,0,10,0.0,0.08928571428571429,0.0,0.4,224,4,betting,3<=K<=5
0.05,45,4,4,0,4,0.0,0.03333333333333333,0.0,0.4,319,4,betting,6<=K<=10
0.05,24,2,3,0,3,0.0,0.03529411764705882,0.0,0.4,330,4,betting,11<=K<=20
0.05,14,1,1,1,0,1.0,0.0,0.07142857142857142,0.4,390,4,betting,21<=K<=50
0.05,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.1,108,18,19,0,19,0.0,0.2,0.0,0.4,118,4,betting,K<=2
0.1,59,11,12,0,12,0.0,0.10714285714285714,0.0,0.4,224,4,betting,3<=K<=5
0.1,45,5,5,0,5,0.0,0.041666666666666664,0.0,0.4,319,4,betting,6<=K<=10
0.1,24,4,5,0,5,0.0,0.058823529411764705,0.0,0.4,330,4,betting,11<=K<=20
0.1,14,4,4,1,3,0.25,0.046153846153846156,0.07142857142857142,0.4,390,4,betting,21<=K<=50
0.1,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.15,108,23,24,0,24,0.0,0.25263157894736843,0.0,0.4,118,4,betting,K<=2
0.15,59,13,15,0,15,0.0,0.13392857142857142,0.0,0.4,224,4,betting,3<=K<=5
0.15,45,5,5,0,5,0.0,0.041666666666666664,0.0,0.4,319,4,betting,6<=K<=10
0.15,24,8,12,0,12,0.0,0.1411764705882353,0.0,0.4,330,4,betting,11<=K<=20
0.15,14,6,10,3,7,0.3,0.1076923076923077,0.14285714285714285,0.4,390,4,betting,21<=K<=50
0.15,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.2,108,25,26,0,26,0.0,0.2736842105263158,0.0,0.4,118,4,betting,K<=2
0.2,59,14,16,0,16,0.0,0.14285714285714285,0.0,0.4,224,4,betting,3<=K<=5
0.2,45,8,10,0,10,0.0,0.08333333333333333,0.0,0.4,319,4,betting,6<=K<=10
0.2,24,9,17,2,15,0.11764705882352941,0.17647058823529413,0.041666666666666664,0.4,330,4,betting,11<=K<=20
0.2,14,8,19,5,14,0.2631578947368421,0.2153846153846154,0.14880952380952378,0.4,390,4,betting,21<=K<=50
0.2,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.05,113,21,21,0,21,0.0,0.21212121212121213,0.0,0.4,124,5,betting,K<=2
