bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500248633325099,0.05059412280097599,53,3,0.017099430018999367,0.0028469750889679717,0.16649532094371952
1,0.05059412280097599,0.05127779990434646,53,2,0.017099430018999367,0.002135231316725979,0.12487149070778965
2,0.05127779990434646,0.05190762123093005,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
3,0.05190762123093005,0.052635104209184574,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
4,0.052635104209184574,0.05348033504560585,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
5,0.05348033504560585,0.05443063788115976,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
6,0.05443063788115976,0.055304740276187606,50,5,0.016149461684610514,0.004270462633451958,0.2644337450282604
7,0.055304740276187606,0.05608373805880542,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
8,0.05608373805880542,0.05717620505020015,50,5,0.016149461684610514,0.004270462633451958,0.2644337450282604
9,0.05717620505020015,0.05802259501069777,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
10,0.05802259501069777,0.05910646161064501,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
11,0.05910646161064501,0.05993559435009954,48,7,0.01551614946168461,0.0056939501779359435,0.36696927881472874
12,0.05993559435009954,0.060894669219851434,53,2,0.017099430018999367,0.002135231316725979,0.12487149070778965
13,0.060894669219851434,0.06212819851934909,53,2,0.017099430018999367,0.002135231316725979,0.12487149070778965
14,0.06212819851934909,0.06351920496672386,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
15,0.06351920496672386,0.06449221670627589,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
16,0.06449221670627589,0.06556643825024362,48,7,0.01551614946168461,0.0056939501779359435,0.36696927881472874
17,0.06556643825024362,0.0669256430119276,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
18,0.0669256430119276,0.06820764169096945,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
19,0.06820764169096945,0.0692917592823505,53,2,0.017099430018999367,0.002135231316725979,0.12487149070778965
20,0.0692917592823505,0.07076859492808577,54,1,0.01741608613046232,0.0014234875444839859,0.08173406664509868
21,0.07076859492808577,0.07237492240965367,53,2,0.017099430018999367,0.002135231316725979,0.12487149070778965
22,0.07237492240965367,0.0739287072792649,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
23,0.0739287072792649,0.07525605112314218,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
24,0.07525605112314218,0.07726286444813008,47,8,0.015199493350221659,0.006405693950177936,0.42144128113879004
25,0.07726286444813008,0.07899796403944487,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
26,0.07899796403944487,0.08035196848213665,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
27,0.08035196848213665,0.08204405233263969,48,7,0.01551614946168461,0.0056939501779359435,0.36696927881472874
28,0.08204405233263969,0.08431265149265521,50,5,0.016149461684610514,0.004270462633451958,0.2644337450282604
29,0.08431265149265521,0.08622141554951662,48,7,0.01551614946168461,0.0056939501779359435,0.36696927881472874
30,0.08622141554951662,0.0882545365020632,49,6,0.015832805573147563,0.00498220640569395,0.31467615658362985
31,0.0882545365020632,0.09113633036613462,49,6,0.015832805573147563,0.00498220640569395,0.31467615658362985
32,0.09113633036613462,0.0930856363847851,50,5,0.016149461684610514,0.004270462633451958,0.2644337450282604
33,0.0930856363847851,0.09601836800575249,53,2,0.017099430018999367,0.002135231316725979,0.12487149070778965
34,0.09601836800575249,0.09901167545467612,49,6,0.015832805573147563,0.00498220640569395,0.31467615658362985
35,0.09901167545467612,0.10178814828395841,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
36,0.10178814828395841,0.10431174915283917,52,3,0.016782773907536415,0.0028469750889679717,0.16963674209360105
37,0.10431174915283917,0.10743772797286506,51,4,0.016466117796073463,0.0035587188612099642,0.21612373391732823
38,0.10743772797286506,0.11102548688650132,50,5,0.016149461684610514,0.004270462633451958,0.2644337450282604
39,0.11102548688650132,0.1142255440354347,42,13,0.013616212792906902,0.0099644128113879,0.7318050153107672
40,0.1142255440354347,0.1187662746757268,47,9,0.015199493350221659,0.0071174377224199285,0.46826809015421117
41,0.1187662746757268,0.12378757372498507,44,11,0.014249525015832806,0.008540925266903915,0.5993831553973903
