family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:100:12:298,coco,100,12,dog,dog,True,12,0,0,0,0.0
coco:100:13:297,coco,100,13,horse,horse,False,11,0,0,0,0.0
coco:100:20:299,coco,100,20,tvmonitor,tvmonitor,True,16,0,0,0,0.0
coco:101:12:301,coco,101,12,dog,dog,True,4,0,0,0,0.0
coco:102:15:303,coco,102,15,person,person,False,3,0,0,0,0.0
coco:102:16:304,coco,102,16,pottedplant,pottedplant,True,22,0,0,0,0.0
coco:103:11:308,coco,103,11,diningtable,diningtable,True,11,0,0,0,0.0
coco:103:15:306,coco,103,15,person,person,False,83,0,0,0,0.0
coco:104:15:309,coco,104,15,person,person,False,1,0,0,0,0.0
coco:104:19:310,coco,104,19,train,train,True,3,0,0,0,0.0
coco:105:4:312,coco,105,4,boat,boat,False,51,0,0,0,0.0
coco:106:17:317,coco,106,17,sheep,sheep,True,4,0,0,0,0.0
coco:106:9:315,coco,106,9,chair,chair,False,23,0,0,0,0.0
coco:107:6:320,coco,107,6,bus,bus,True,2,0,0,0,0.0
coco:109:16:325,coco,109,16,pottedplant,pottedplant,True,4,0,0,0,0.0
coco:109:5:326,coco,109,5,bottle,bottle,True,25,0,0,0,0.0
coco:10:12:28,coco,10,12,dog,dog,True,1,0,0,0,0.0
coco:10:15:27,coco,10,15,person,person,False,49,0,0,0,0.0
coco:10:18:29,coco,10,18,sofa,sofa,True,7,0,0,0,0.0
coco:110:15:327,coco,110,15,person,person,False,5,0,0,0,0.0
coco:110:2:329,coco,110,2,bicycle,bicycle,True,1,0,0,0,0.0
coco:112:6:335,coco,112,6,bus,bus,True,27,0,0,0,0.0
coco:113:18:337,coco,113,18,sofa,sofa,True,5,0,0,0,0.0
coco:113:5:338,coco,113,5,bottle,bottle,True,10,0,0,0,0.0
coco:115:13:343,coco,115,13,horse,horse,True,8,0,0,0,0.0
coco:116:14:347,coco,116,14,motorbike,motorbike,True,5,0,0,0,0.0
coco:118:9:351,coco,118,9,chair,chair,False,18,0,0,0,0.0
coco:119:8:355,coco,119,8,cat,cat,True,1,0,0,0,0.0
coco:11:14:32,coco,11,14,motorbike,motorbike,True,4,0,0,0,0.0
coco:11:7:30,coco,11,7,car,car,False,14,0,0,0,0.0
coco:121:15:360,coco,121,15,person,person,False,1,0,0,0,0.0
coco:121:6:361,coco,121,6,bus,bus,True,3,0,0,0,0.0
coco:122:15:363,coco,122,15,person,person,False,4,0,0,0,0.0
coco:122:6:365,coco,122,6,bus,bus,True,2,0,0,0,0.0
coco:123:15:366,coco,123,15,person,person,False,10,0,0,0,0.0
coco:123:16:367,coco,123,16,pottedplant,pottedplant,True,6,0,0,0,0.0
coco:123:17:368,coco,123,17,sheep,sheep,True,2,0,0,0,0.0
coco:125:16:373,coco,125,16,pottedplant,pottedplant,True,10,0,0,0,0.0
coco:125:7:374,coco,125,7,car,car,True,15,0,0,0,0.0
coco:125:9:372,coco,125,9,chair,chair,False,4,0,0,0,0.0
coco:126:1:377,coco,126,1,aeroplane,aeroplane,True,14,0,0,0,0.0
coco:126:7:375,coco,126,7,car,car,False,2,0,0,0,0.0
coco:127:15:378,coco,127,15,person,person,False,6,0,0,0,0.0
coco:127:4:379,coco,127,4,boat,boat,True,8,0,0,0,0.0
coco:128:15:381,coco,128,15,person,person,False,8,0,0,0,0.0
coco:128:16:382,coco,128,16,pottedplant,pottedplant,True,12,0,0,0,0.0
coco:128:19:383,coco,128,19,train,train,True,8,0,0,0,0.0
coco:129:10:385,coco,129,10,cow,cow,True,1,0,0,0,0.0
coco:129:14:384,coco,129,14,motorbike,motorbike,False,2,0,0,0,0.0
coco:12:13:34,coco,12,13,horse,horse,True,1,0,0,0,0.0
coco:130:19:389,coco,130,19,train,train,True,5,0,0,0,0.0
coco:131:18:392,coco,131,18,sofa,sofa,True,10,0,0,0,0.0
coco:131:5:390,coco,131,5,bottle,bottle,False,5,0,0,0,0.0
coco:132:17:395,coco,132,17,sheep,sheep,True,1,0,0,0,0.0
coco:132:19:394,coco,132,19,train,train,True,2,0,0,0,0.0
coco:132:3:393,coco,132,3,bird,bird,False,5,0,0,0,0.0
coco:133:17:398,coco,133,17,sheep,sheep,True,1,0,0,0,0.0
coco:133:3:396,coco,133,3,bird,bird,False,5,0,0,0,0.0
coco:134:12:400,coco,134,12,dog,dog,True,3,0,0,0,0.0
coco:134:15:399,coco,134,15,person,person,False,3,0,0,0,0.0
coco:134:5:401,coco,134,5,bottle,bottle,True,5,0,0,0,0.0
coco:135:16:404,coco,135,16,pottedplant,pottedplant,True,3,0,0,0,0.0
coco:135:5:403,coco,135,5,bottle,bottle,True,8,0,0,0,0.0
coco:135:8:402,coco,135,8,cat,cat,False,1,0,0,0,0.0
coco:138:15:411,coco,138,15,person,person,False,7,0,0,0,0.0
coco:138:1:413,coco,138,1,aeroplane,aeroplane,True,24,0,0,0,0.0
coco:138:5:412,coco,138,5,bottle,bottle,True,21,0,0,0,0.0
coco:139:15:414,coco,139,15,person,person,False,2,0,0,0,0.0
coco:139:6:415,coco,139,6,bus,bus,True,3,0,0,0,0.0
coco:13:3:38,coco,13,3,bird,bird,True,2,0,0,0,0.0
coco:141:10:421,coco,141,10,cow,cow,True,1,0,0,0,0.0
coco:141:11:422,coco,141,11,diningtable,diningtable,True,16,0,0,0,0.0
coco:141:15:420,coco,141,15,person,person,False,12,0,0,0,0.0
coco:144:14:431,coco,144,14,motorbike,motorbike,True,1,0,0,0,0.0
coco:144:16:430,coco,144,16,pottedplant,pottedplant,True,13,0,0,0,0.0
coco:146:15:435,coco,146,15,person,person,False,3,0,0,0,0.0
coco:147:13:439,coco,147,13,horse,horse,True,7,0,0,0,0.0
coco:147:14:440,coco,147,14,motorbike,motorbike,True,3,0,0,0,0.0
coco:148:18:441,coco,148,18,sofa,sofa,False,21,0,0,0,0.0
coco:149:15:444,coco,149,15,person,person,False,4,0,0,0,0.0
coco:150:13:447,coco,150,13,horse,horse,False,2,0,0,0,0.0
coco:151:11:452,coco,151,11,diningtable,diningtable,True,19,0,0,0,0.0
coco:151:15:450,coco,151,15,person,person,False,55,0,0,0,0.0
coco:152:15:453,coco,152,15,person,person,False,9,0,0,0,0.0
