alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,238,104,134,0,134,0.0,0.34271099744245526,0.0,0,betting,all,279
0.1,238,122,159,1,158,0.006289308176100629,0.4040920716112532,0.004201680672268907,0,betting,all,279
0.15,238,125,162,1,161,0.006172839506172839,0.4117647058823529,0.004201680672268907,0,betting,all,279
0.2,238,127,164,1,163,0.006097560975609756,0.41687979539641945,0.004201680672268907,0,betting,all,279
0.05,238,115,150,2,148,0.013333333333333334,0.36633663366336633,0.008403361344537815,1,betting,all,321
0.1,238,124,164,2,162,0.012195121951219513,0.400990099009901,0.008403361344537815,1,betting,all,321
0.15,238,127,167,2,165,0.011976047904191617,0.4084158415841584,0.008403361344537815,1,betting,all,321
0.2,238,127,167,2,165,0.011976047904191617,0.4084158415841584,0.008403361344537815,1,betting,all,321
0.05,238,96,126,1,125,0.007936507936507936,0.3255208333333333,0.004201680672268907,2,betting,all,227
0.1,238,120,161,1,160,0.006211180124223602,0.4166666666666667,0.004201680672268907,2,betting,all,227
0.15,238,129,170,1,169,0.0058823529411764705,0.4401041666666667,0.004201680672268907,2,betting,all,227
0.2,238,130,171,1,170,0.005847953216374269,0.4427083333333333,0.004201680672268907,2,betting,all,227
0.05,238,126,160,3,157,0.01875,0.4175531914893617,0.01050420168067227,3,betting,all,253
0.1,238,132,167,3,164,0.017964071856287425,0.43617021276595747,0.01050420168067227,3,betting,all,253
0.15,238,132,167,3,164,0.017964071856287425,0.43617021276595747,0.01050420168067227,3,betting,all,253
0.2,238,132,167,3,164,0.017964071856287425,0.43617021276595747,0.01050420168067227,3,betting,all,253
0.05,238,115,136,0,136,0.0,0.38857142857142857,0.0,4,betting,all,255
0.1,238,124,148,1,147,0.006756756756756757,0.42,0.004201680672268907,4,betting,all,255
0.15,238,128,152,1,151,0.006578947368421052,0.43142857142857144,0.004201680672268907,4,betting,all,255
0.2,238,128,152,1,151,0.006578947368421052,0.43142857142857144,0.004201680672268907,4,betting,all,255
0.05,238,129,173,3,170,0.017341040462427744,0.4028436018957346,0.012605042016806723,5,betting,all,249
0.1,238,133,179,3,176,0.01675977653631285,0.41706161137440756,0.012605042016806723,5,betting,all,249
0.15,238,133,179,3,176,0.01675977653631285,0.41706161137440756,0.012605042016806723,5,betting,all,249
0.2,238,133,179,3,176,0.01675977653631285,0.41706161137440756,0.012605042016806723,5,betting,all,249
0.05,238,141,185,3,182,0.016216216216216217,0.48663101604278075,0.01050420168067227,6,betting,all,245
0.1,238,146,199,5,194,0.02512562814070352,0.5187165775401069,0.018907563025210083,6,betting,all,245
0.15,238,153,211,5,206,0.023696682464454975,0.5508021390374331,0.018907563025210083,6,betting,all,245
