alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,210,100,119,0,119,0.0,0.4559386973180077,0.0,0,betting,K<=5
0.05,28,4,15,0,15,0.0,0.11538461538461539,0.0,0,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.1,210,109,128,1,127,0.0078125,0.48659003831417624,0.004761904761904762,0,betting,K<=5
0.1,28,13,31,0,31,0.0,0.23846153846153847,0.0,0,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.15,210,109,128,1,127,0.0078125,0.48659003831417624,0.004761904761904762,0,betting,K<=5
0.15,28,16,34,0,34,0.0,0.26153846153846155,0.0,0,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.2,210,109,128,1,127,0.0078125,0.48659003831417624,0.004761904761904762,0,betting,K<=5
0.2,28,18,36,0,36,0.0,0.27692307692307694,0.0,0,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.05,208,107,129,2,127,0.015503875968992248,0.43944636678200694,0.009615384615384616,1,betting,K<=5
0.05,30,8,21,0,21,0.0,0.1826086956521739,0.0,1,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.1,208,107,129,2,127,0.015503875968992248,0.43944636678200694,0.009615384615384616,1,betting,K<=5
0.1,30,17,35,0,35,0.0,0.30434782608695654,0.0,1,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.15,208,107,129,2,127,0.015503875968992248,0.43944636678200694,0.009615384615384616,1,betting,K<=5
0.15,30,20,38,0,38,0.0,0.33043478260869563,0.0,1,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.2,208,107,129,2,127,0.015503875968992248,0.43944636678200694,0.009615384615384616,1,betting,K<=5
0.2,30,20,38,0,38,0.0,0.33043478260869563,0.0,1,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.05,21,2,7,0,7,0.0,0.09722222222222222,0.0,2,betting,5<K<=30
0.05,217,94,119,1,118,0.008403361344537815,0.3782051282051282,0.004608294930875576,2,betting,K<=5
0.05,0,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.1,21,8,22,0,22,0.0,0.3055555555555556,0.0,2,betting,5<K<=30
0.1,217,112,139,1,138,0.007194244604316547,0.4423076923076923,0.004608294930875576,2,betting,K<=5
0.1,0,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.15,21,12,26,0,26,0.0,0.3611111111111111,0.0,2,betting,5<K<=30
0.15,217,117,144,1,143,0.006944444444444444,0.4583333333333333,0.004608294930875576,2,betting,K<=5
0.15,0,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.2,21,13,27,0,27,0.0,0.375,0.0,2,betting,5<K<=30
0.2,217,117,144,1,143,0.006944444444444444,0.4583333333333333,0.004608294930875576,2,betting,K<=5
0.2,0,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.05,27,16,36,0,36,0.0,0.288,0.0,3,betting,5<K<=30
0.05,211,110,124,3,121,0.024193548387096774,0.4820717131474104,0.011848341232227487,3,betting,K<=5
0.05,0,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.1,27,22,43,0,43,0.0,0.344,0.0,3,betting,5<K<=30
0.1,211,110,124,3,121,0.024193548387096774,0.4820717131474104,0.011848341232227487,3,betting,K<=5
0.1,0,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.15,27,22,43,0,43,0.0,0.344,0.0,3,betting,5<K<=30
0.15,211,110,124,3,121,0.024193548387096774,0.4820717131474104,0.011848341232227487,3,betting,K<=5
0.15,0,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.2,27,22,43,0,43,0.0,0.344,0.0,3,betting,5<K<=30
0.2,211,110,124,3,121,0.024193548387096774,0.4820717131474104,0.011848341232227487,3,betting,K<=5
0.2,0,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.05,222,110,125,0,125,0.0,0.44802867383512546,0.0,4,betting,K<=5
0.05,16,5,11,0,11,0.0,0.15492957746478872,0.0,4,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.1,222,114,129,0,129,0.0,0.46236559139784944,0.0,4,betting,K<=5
0.1,16,10,19,1,18,0.05263157894736842,0.2535211267605634,0.0625,4,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.15,222,114,129,0,129,0.0,0.46236559139784944,0.0,4,betting,K<=5
0.15,16,14,23,1,22,0.043478260869565216,0.30985915492957744,0.0625,4,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.2,222,114,129,0,129,0.0,0.46236559139784944,0.0,4,betting,K<=5
0.2,16,14,23,1,22,0.043478260869565216,0.30985915492957744,0.0625,4,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.05,32,16,37,0,37,0.0,0.24666666666666667,0.0,5,betting,5<K<=30
0.05,206,113,136,3,133,0.022058823529411766,0.4889705882352941,0.014563106796116505,5,betting,K<=5
0.05,0,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.1,32,20,43,0,43,0.0,0.2866666666666667,0.0,5,betting,5<K<=30
0.1,206,113,136,3,133,0.022058823529411766,0.4889705882352941,0.014563106796116505,5,betting,K<=5
0.1,0,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.15,32,20,43,0,43,0.0,0.2866666666666667,0.0,5,betting,5<K<=30
0.15,206,113,136,3,133,0.022058823529411766,0.4889705882352941,0.014563106796116505,5,betting,K<=5
0.15,0,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.2,32,20,43,0,43,0.0,0.2866666666666667,0.0,5,betting,5<K<=30
0.2,206,113,136,3,133,0.022058823529411766,0.4889705882352941,0.014563106796116505,5,betting,K<=5
0.2,0,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.05,217,128,156,2,154,0.01282051282051282,0.5238095238095238,0.009216589861751152,6,betting,K<=5
0.05,21,13,29,1,28,0.034482758620689655,0.35,0.023809523809523808,6,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.1,217,133,169,4,165,0.023668639053254437,0.5612244897959183,0.018433179723502304,6,betting,K<=5
0.1,21,13,30,1,29,0.03333333333333333,0.3625,0.023809523809523808,6,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.15,217,140,181,4,177,0.022099447513812154,0.6020408163265306,0.018433179723502304,6,betting,K<=5
0.15,21,13,30,1,29,0.03333333333333333,0.3625,0.023809523809523808,6,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.2,217,146,193,5,188,0.025906735751295335,0.6394557823129252,0.02304147465437788,6,betting,K<=5
0.2,21,13,30,1,29,0.03333333333333333,0.3625,0.023809523809523808,6,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.05,214,113,128,4,124,0.03125,0.4732824427480916,0.018691588785046728,7,betting,K<=5
0.05,24,12,23,0,23,0.0,0.22549019607843138,0.0,7,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.1,214,125,150,8,142,0.05333333333333334,0.5419847328244275,0.03193146417445483,7,betting,K<=5
0.1,24,14,30,0,30,0.0,0.29411764705882354,0.0,7,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.15,214,133,163,8,155,0.049079754601226995,0.5916030534351145,0.03193146417445483,7,betting,K<=5
0.15,24,14,34,1,33,0.029411764705882353,0.3235294117647059,0.013888888888888888,7,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.2,214,138,173,9,164,0.05202312138728324,0.6259541984732825,0.03660436137071651,7,betting,K<=5
0.2,24,14,41,5,36,0.12195121951219512,0.35294117647058826,0.05625,7,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.05,211,103,124,1,123,0.008064516129032258,0.43309859154929575,0.004739336492890996,8,betting,K<=5
0.05,27,5,19,0,19,0.0,0.16521739130434782,0.0,8,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,8,betting,K>30
0.1,211,113,134,3,131,0.022388059701492536,0.4612676056338028,0.014218009478672985,8,betting,K<=5
0.1,27,11,31,0,31,0.0,0.26956521739130435,0.0,8,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,8,betting,K>30
0.15,211,113,134,3,131,0.022388059701492536,0.4612676056338028,0.014218009478672985,8,betting,K<=5
0.15,27,13,35,0,35,0.0,0.30434782608695654,0.0,8,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,8,betting,K>30
0.2,211,113,134,3,131,0.022388059701492536,0.4612676056338028,0.014218009478672985,8,betting,K<=5
0.2,27,13,35,0,35,0.0,0.30434782608695654,0.0,8,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,8,betting,K>30
0.05,212,107,120,1,119,0.008333333333333333,0.4296028880866426,0.0047169811320754715,9,betting,K<=5
0.05,26,12,29,0,29,0.0,0.2265625,0.0,9,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,9,betting,K>30
0.1,212,107,120,1,119,0.008333333333333333,0.4296028880866426,0.0047169811320754715,9,betting,K<=5
0.1,26,14,31,0,31,0.0,0.2421875,0.0,9,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,9,betting,K>30
0.15,212,107,120,1,119,0.008333333333333333,0.4296028880866426,0.0047169811320754715,9,betting,K<=5
0.15,26,14,31,0,31,0.0,0.2421875,0.0,9,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,9,betting,K>30
0.2,212,107,120,1,119,0.008333333333333333,0.4296028880866426,0.0047169811320754715,9,betting,K<=5
0.2,26,14,31,0,31,0.0,0.2421875,0.0,9,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,9,betting,K>30
0.05,204,107,128,4,124,0.03125,0.4979919678714859,0.0196078431372549,10,betting,K<=5
0.05,34,9,33,0,33,0.0,0.2185430463576159,0.0,10,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.1,204,118,139,5,134,0.03597122302158273,0.5381526104417671,0.024509803921568627,10,betting,K<=5
0.1,34,16,42,1,41,0.023809523809523808,0.271523178807947,0.029411764705882353,10,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.15,204,118,139,5,134,0.03597122302158273,0.5381526104417671,0.024509803921568627,10,betting,K<=5
0.15,34,22,48,1,47,0.020833333333333332,0.31125827814569534,0.029411764705882353,10,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.2,204,118,139,5,134,0.03597122302158273,0.5381526104417671,0.024509803921568627,10,betting,K<=5
0.2,34,23,49,1,48,0.02040816326530612,0.31788079470198677,0.029411764705882353,10,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.05,215,108,133,1,132,0.007518796992481203,0.44745762711864406,0.004651162790697674,11,betting,K<=5
0.05,23,8,16,0,16,0.0,0.13114754098360656,0.0,11,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,11,betting,K>30
0.1,215,108,133,1,132,0.007518796992481203,0.44745762711864406,0.004651162790697674,11,betting,K<=5
0.1,23,10,18,0,18,0.0,0.14754098360655737,0.0,11,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,11,betting,K>30
0.15,215,108,133,1,132,0.007518796992481203,0.44745762711864406,0.004651162790697674,11,betting,K<=5
0.15,23,12,20,0,20,0.0,0.16393442622950818,0.0,11,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,11,betting,K>30
0.2,215,108,133,1,132,0.007518796992481203,0.44745762711864406,0.004651162790697674,11,betting,K<=5
