alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,323,16,307,0.04953560371517028,0.7851662404092071,0.5999285578727722,0,score_oracle
0.1,370,37,333,0.1,0.8516624040920716,0.4213578701019287,0,score_oracle
0.15,398,59,339,0.14824120603015076,0.8670076726342711,0.3309051990509033,0,score_oracle
0.2,441,88,353,0.19954648526077098,0.9028132992327366,0.1966224461793899,0,score_oracle
0.05,315,15,300,0.047619047619047616,0.7425742574257426,0.6990901827812195,1,score_oracle
0.1,366,36,330,0.09836065573770492,0.8168316831683168,0.5298065543174744,1,score_oracle
0.15,409,61,348,0.1491442542787286,0.8613861386138614,0.3387046158313751,1,score_oracle
0.2,455,91,364,0.2,0.900990099009901,0.210387572646141,1,score_oracle
0.05,280,14,266,0.05,0.6927083333333334,0.7405404448509216,2,score_oracle
0.1,350,35,315,0.1,0.8203125,0.4970336556434631,2,score_oracle
0.15,397,59,338,0.1486146095717884,0.8802083333333334,0.3009925186634063,2,score_oracle
0.2,443,88,355,0.1986455981941309,0.9244791666666666,0.1964330077171325,2,score_oracle
0.05,268,13,255,0.048507462686567165,0.6781914893617021,0.7869795560836792,3,score_oracle
0.1,328,32,296,0.0975609756097561,0.7872340425531915,0.6154890060424805,3,score_oracle
0.15,389,58,331,0.14910025706940874,0.8803191489361702,0.3945733904838562,3,score_oracle
0.2,426,85,341,0.19953051643192488,0.9069148936170213,0.256631076335907,3,score_oracle
0.05,245,12,233,0.04897959183673469,0.6657142857142857,0.7748786211013794,4,score_oracle
0.1,312,31,281,0.09935897435897435,0.8028571428571428,0.5064946413040161,4,score_oracle
0.15,360,54,306,0.15,0.8742857142857143,0.3116909265518188,4,score_oracle
0.2,408,81,327,0.19852941176470587,0.9342857142857143,0.1733360290527343,4,score_oracle
0.05,284,14,270,0.04929577464788732,0.6398104265402843,0.7214458584785461,5,score_oracle
0.1,363,36,327,0.09917355371900827,0.7748815165876777,0.527880072593689,5,score_oracle
0.15,420,63,357,0.15,0.8459715639810427,0.3145467042922973,5,score_oracle
0.2,463,92,371,0.19870410367170627,0.8791469194312796,0.2038422971963882,5,score_oracle
0.05,293,14,279,0.04778156996587031,0.7459893048128342,0.6964585781097412,6,score_oracle
0.1,353,35,318,0.09915014164305949,0.8502673796791443,0.44952192902565,6,score_oracle
0.15,397,59,338,0.1486146095717884,0.9037433155080213,0.2666529417037964,6,score_oracle
0.2,445,89,356,0.2,0.9518716577540107,0.1494479477405548,6,score_oracle
0.05,222,11,211,0.04954954954954955,0.5796703296703297,0.8309406042098999,7,score_oracle
0.1,292,29,263,0.09931506849315068,0.7225274725274725,0.6493538618087769,7,score_oracle
