bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500094667077064,0.05231681480072437,23,3,0.02804878048780488,0.0025,0.0891304347826087
1,0.05231681480072437,0.053963410481810525,22,3,0.026829268292682926,0.0025,0.09318181818181819
2,0.053963410481810525,0.056458108872175186,23,2,0.02804878048780488,0.0016666666666666668,0.059420289855072465
3,0.056458108872175186,0.05937338732182977,20,5,0.024390243902439025,0.004166666666666667,0.17083333333333334
4,0.05937338732182977,0.06126768817193805,22,4,0.026829268292682926,0.0033333333333333335,0.12424242424242425
5,0.06126768817193805,0.06346327643841503,20,5,0.024390243902439025,0.004166666666666667,0.17083333333333334
6,0.06346327643841503,0.06573908161371944,17,8,0.020731707317073172,0.006666666666666667,0.3215686274509804
7,0.06573908161371944,0.06923067718744276,21,4,0.025609756097560974,0.0033333333333333335,0.13015873015873017
8,0.06923067718744276,0.07188978120684622,20,6,0.024390243902439025,0.005,0.205
9,0.07188978120684622,0.07396586891263719,21,4,0.025609756097560974,0.0033333333333333335,0.13015873015873017
10,0.07396586891263719,0.07889273678883907,23,2,0.02804878048780488,0.0016666666666666668,0.059420289855072465
11,0.07889273678883907,0.08291668631136415,18,7,0.02195121951219512,0.005833333333333334,0.2657407407407408
12,0.08291668631136415,0.08729371102526777,19,7,0.023170731707317073,0.005833333333333334,0.2517543859649123
13,0.08729371102526777,0.09367403034120794,22,3,0.026829268292682926,0.0025,0.09318181818181819
14,0.09367403034120794,0.09909358993172644,21,4,0.025609756097560974,0.0033333333333333335,0.13015873015873017
15,0.09909358993172644,0.1043353796005249,21,4,0.025609756097560974,0.0033333333333333335,0.13015873015873017
16,0.1043353796005249,0.10940835680812597,19,7,0.023170731707317073,0.005833333333333334,0.2517543859649123
17,0.10940835680812597,0.11559719238430263,19,6,0.023170731707317073,0.005,0.21578947368421053
18,0.11559719238430263,0.12256332300603388,20,5,0.024390243902439025,0.004166666666666667,0.17083333333333334
19,0.12256332300603388,0.13332414999604222,23,2,0.02804878048780488,0.0016666666666666668,0.059420289855072465
20,0.13332414999604222,0.14131359010934824,18,7,0.02195121951219512,0.005833333333333334,0.2657407407407408
21,0.14131359010934824,0.15262796767055986,24,2,0.02926829268292683,0.0016666666666666668,0.05694444444444444
22,0.15262796767055986,0.16736124251037834,23,2,0.02804878048780488,0.0016666666666666668,0.059420289855072465
23,0.16736124251037834,0.17999892681837082,17,8,0.020731707317073172,0.006666666666666667,0.3215686274509804
24,0.17999892681837082,0.1915518138557672,18,7,0.02195121951219512,0.005833333333333334,0.2657407407407408
25,0.1915518138557672,0.20194466672837733,18,8,0.02195121951219512,0.006666666666666667,0.30370370370370375
26,0.20194466672837733,0.21733010970056055,19,6,0.023170731707317073,0.005,0.21578947368421053
27,0.21733010970056055,0.23764599859714516,16,9,0.01951219512195122,0.0075,0.38437499999999997
28,0.23764599859714516,0.26096907109022144,20,5,0.024390243902439025,0.004166666666666667,0.17083333333333334
29,0.26096907109022144,0.2806484326720237,18,8,0.02195121951219512,0.006666666666666667,0.30370370370370375
30,0.2806484326720237,0.3063104458153248,13,12,0.015853658536585366,0.01,0.6307692307692307
31,0.3063104458153248,0.3301859676837921,17,8,0.020731707317073172,0.006666666666666667,0.3215686274509804
32,0.3301859676837921,0.3504105672240257,16,9,0.01951219512195122,0.0075,0.38437499999999997
33,0.3504105672240257,0.37551152706146246,20,6,0.024390243902439025,0.005,0.205
34,0.37551152706146246,0.4083834905177355,16,9,0.01951219512195122,0.0075,0.38437499999999997
35,0.4083834905177355,0.43872446417808547,16,9,0.01951219512195122,0.0075,0.38437499999999997
36,0.43872446417808547,0.48358812406659135,8,17,0.00975609756097561,0.014166666666666666,1.4520833333333332
37,0.48358812406659135,0.5118302598595622,12,14,0.014634146341463415,0.011666666666666667,0.7972222222222222
38,0.5118302598595622,0.5332143120467663,12,13,0.014634146341463415,0.010833333333333334,0.7402777777777778
39,0.5332143120467663,0.5627053678035736,12,13,0.014634146341463415,0.010833333333333334,0.7402777777777778
40,0.5627053678035736,0.6005131520330906,7,18,0.00853658536585366,0.015,1.757142857142857
41,0.6005131520330906,0.6305909976363183,6,19,0.007317073170731708,0.015833333333333335,2.1638888888888888
42,0.6305909976363183,0.6574154444038862,7,19,0.00853658536585366,0.015833333333333335,1.8547619047619048
43,0.6574154444038862,0.6817626982927323,6,19,0.007317073170731708,0.015833333333333335,2.1638888888888888
44,0.6817626982927323,0.7053479328751564,9,16,0.01097560975609756,0.013333333333333334,1.214814814814815
45,0.7053479328751564,0.7234842941164972,4,21,0.004878048780487805,0.0175,3.5875000000000004
