alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,238,104,134,0,134,0.0,0.34271099744245526,0.0,0,betting
0.1,238,122,159,1,158,0.006289308176100629,0.4040920716112532,0.004201680672268907,0,betting
0.15,238,125,162,1,161,0.006172839506172839,0.4117647058823529,0.004201680672268907,0,betting
0.2,238,127,164,1,163,0.006097560975609756,0.41687979539641945,0.004201680672268907,0,betting
0.05,238,98,123,2,121,0.016260162601626018,0.309462915601023,0.0063025210084033615,0,binary
0.1,238,105,149,4,145,0.026845637583892617,0.37084398976982097,0.010971055088702148,0,binary
0.15,238,113,170,8,162,0.047058823529411764,0.4143222506393862,0.02007469654528478,0,binary
0.2,238,121,181,14,167,0.07734806629834254,0.42710997442455245,0.040382819794584496,0,binary
0.05,238,149,205,4,201,0.01951219512195122,0.5140664961636828,0.011029411764705883,0,pvalue_bh
0.1,238,169,280,9,271,0.03214285714285714,0.6930946291560103,0.021475256769374416,0,pvalue_bh
0.15,238,176,307,15,292,0.048859934853420196,0.7468030690537084,0.03154178338001867,0,pvalue_bh
0.2,238,184,330,27,303,0.08181818181818182,0.7749360613810742,0.05468559973008811,0,pvalue_bh
0.05,238,115,150,2,148,0.013333333333333334,0.36633663366336633,0.008403361344537815,1,betting
0.1,238,124,164,2,162,0.012195121951219513,0.400990099009901,0.008403361344537815,1,betting
0.15,238,127,167,2,165,0.011976047904191617,0.4084158415841584,0.008403361344537815,1,betting
0.2,238,127,167,2,165,0.011976047904191617,0.4084158415841584,0.008403361344537815,1,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,238,162,264,10,254,0.03787878787878788,0.6287128712871287,0.02373949579831933,1,pvalue_bh
0.1,238,178,318,17,301,0.05345911949685535,0.745049504950495,0.037511671335200746,1,pvalue_bh
0.15,238,187,347,29,318,0.08357348703170028,0.7871287128712872,0.05504201680672269,1,pvalue_bh
0.2,238,190,370,40,330,0.10810810810810811,0.8168316831683168,0.0722689075630252,1,pvalue_bh
0.05,238,96,126,1,125,0.007936507936507936,0.3255208333333333,0.004201680672268907,2,betting
0.1,238,120,161,1,160,0.006211180124223602,0.4166666666666667,0.004201680672268907,2,betting
0.15,238,129,170,1,169,0.0058823529411764705,0.4401041666666667,0.004201680672268907,2,betting
0.2,238,130,171,1,170,0.005847953216374269,0.4427083333333333,0.004201680672268907,2,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,2,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,2,binary
0.05,238,154,219,5,214,0.0228310502283105,0.5572916666666666,0.018907563025210083,2,pvalue_bh
0.1,238,178,280,14,266,0.05,0.6927083333333334,0.03361344537815126,2,pvalue_bh
0.15,238,186,303,20,283,0.066006600660066,0.7369791666666666,0.04411764705882353,2,pvalue_bh
0.2,238,191,326,26,300,0.07975460122699386,0.78125,0.047619047619047616,2,pvalue_bh
0.05,238,126,160,3,157,0.01875,0.4175531914893617,0.01050420168067227,3,betting
0.1,238,132,167,3,164,0.017964071856287425,0.43617021276595747,0.01050420168067227,3,betting
0.15,238,132,167,3,164,0.017964071856287425,0.43617021276595747,0.01050420168067227,3,betting
0.2,238,132,167,3,164,0.017964071856287425,0.43617021276595747,0.01050420168067227,3,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,238,163,266,18,248,0.06766917293233082,0.6595744680851063,0.050676937441643324,3,pvalue_bh
0.1,238,174,318,32,286,0.10062893081761007,0.7606382978723404,0.06594304388422034,3,pvalue_bh
0.15,238,185,342,41,301,0.11988304093567251,0.800531914893617,0.08758169934640524,3,pvalue_bh
0.2,238,192,360,47,313,0.13055555555555556,0.8324468085106383,0.1002886002886003,3,pvalue_bh
0.05,238,115,136,0,136,0.0,0.38857142857142857,0.0,4,betting
0.1,238,124,148,1,147,0.006756756756756757,0.42,0.004201680672268907,4,betting
0.15,238,128,152,1,151,0.006578947368421052,0.43142857142857144,0.004201680672268907,4,betting
0.2,238,128,152,1,151,0.006578947368421052,0.43142857142857144,0.004201680672268907,4,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,4,binary
0.05,238,159,212,8,204,0.03773584905660377,0.5828571428571429,0.028361344537815126,4,pvalue_bh
0.1,238,174,261,18,243,0.06896551724137931,0.6942857142857143,0.04376750700280112,4,pvalue_bh
0.15,238,185,298,28,270,0.09395973154362416,0.7714285714285715,0.058193277310924364,4,pvalue_bh
0.2,238,188,312,31,281,0.09935897435897435,0.8028571428571428,0.06554621848739496,4,pvalue_bh
0.05,238,129,173,3,170,0.017341040462427744,0.4028436018957346,0.012605042016806723,5,betting
0.1,238,133,179,3,176,0.01675977653631285,0.41706161137440756,0.012605042016806723,5,betting
0.15,238,133,179,3,176,0.01675977653631285,0.41706161137440756,0.012605042016806723,5,betting
0.2,238,133,179,3,176,0.01675977653631285,0.41706161137440756,0.012605042016806723,5,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,5,binary
0.1,238,102,148,9,139,0.060810810810810814,0.3293838862559242,0.02661064425770308,5,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,5,binary
0.2,238,113,169,18,151,0.10650887573964497,0.3578199052132701,0.043650793650793655,5,binary
0.05,238,161,257,14,243,0.054474708171206226,0.5758293838862559,0.034313725490196074,5,pvalue_bh
0.1,238,176,311,24,287,0.07717041800643087,0.6800947867298578,0.04668867547018807,5,pvalue_bh
0.15,238,187,340,29,311,0.08529411764705883,0.7369668246445498,0.055022008803521406,5,pvalue_bh
0.2,238,193,367,41,326,0.11171662125340599,0.7725118483412322,0.06840251252015958,5,pvalue_bh
0.05,238,141,185,3,182,0.016216216216216217,0.48663101604278075,0.01050420168067227,6,betting
0.1,238,146,199,5,194,0.02512562814070352,0.5187165775401069,0.018907563025210083,6,betting
0.15,238,153,211,5,206,0.023696682464454975,0.5508021390374331,0.018907563025210083,6,betting
0.2,238,159,223,6,217,0.026905829596412557,0.5802139037433155,0.023109243697478993,6,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,6,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,6,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,6,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,6,binary
0.05,238,169,241,6,235,0.024896265560165973,0.6283422459893048,0.022058823529411766,6,pvalue_bh
0.1,238,182,271,14,257,0.05166051660516605,0.6871657754010695,0.040616246498599434,6,pvalue_bh
0.15,238,189,304,17,287,0.05592105263157895,0.767379679144385,0.04649859943977591,6,pvalue_bh
0.2,238,194,323,25,298,0.07739938080495357,0.7967914438502673,0.06242997198879551,6,pvalue_bh
0.05,238,125,151,4,147,0.026490066225165563,0.40384615384615385,0.01680672268907563,7,betting
0.1,238,139,180,8,172,0.044444444444444446,0.4725274725274725,0.028711484593837534,7,betting
0.15,238,147,197,9,188,0.04568527918781726,0.5164835164835165,0.030112044817927168,7,betting
0.2,238,152,214,14,200,0.06542056074766354,0.5494505494505495,0.03858543417366947,7,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,7,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,7,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,7,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,7,binary
0.05,238,158,226,16,210,0.07079646017699115,0.5769230769230769,0.04523809523809524,7,pvalue_bh
0.1,238,168,273,26,247,0.09523809523809523,0.6785714285714286,0.05651260504201681,7,pvalue_bh
0.15,238,176,295,34,261,0.1152542372881356,0.717032967032967,0.06867997198879551,7,pvalue_bh
0.2,238,183,320,41,279,0.128125,0.7664835164835165,0.08210990278464327,7,pvalue_bh
0.05,238,108,143,1,142,0.006993006993006993,0.3558897243107769,0.004201680672268907,8,betting
0.1,238,124,165,3,162,0.01818181818181818,0.40601503759398494,0.012605042016806723,8,betting
0.15,238,126,169,3,166,0.01775147928994083,0.41604010025062654,0.012605042016806723,8,betting
0.2,238,126,169,3,166,0.01775147928994083,0.41604010025062654,0.012605042016806723,8,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,8,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,8,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,8,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,8,binary
0.05,238,148,218,5,213,0.022935779816513763,0.5338345864661654,0.017857142857142856,8,pvalue_bh
0.1,238,158,243,7,236,0.02880658436213992,0.5914786967418546,0.022899159663865548,8,pvalue_bh
0.15,238,168,280,10,270,0.03571428571428571,0.6766917293233082,0.027240896358543418,8,pvalue_bh
0.2,238,173,296,15,281,0.05067567567567568,0.7042606516290727,0.03354341736694678,8,pvalue_bh
0.05,238,119,149,1,148,0.006711409395973154,0.3654320987654321,0.004201680672268907,9,betting
0.1,238,121,151,1,150,0.006622516556291391,0.37037037037037035,0.004201680672268907,9,betting
0.15,238,121,151,1,150,0.006622516556291391,0.37037037037037035,0.004201680672268907,9,betting
0.2,238,121,151,1,150,0.006622516556291391,0.37037037037037035,0.004201680672268907,9,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,9,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,9,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,9,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,9,binary
0.05,238,163,253,12,241,0.04743083003952569,0.5950617283950618,0.02476657329598506,9,pvalue_bh
0.1,238,177,283,17,266,0.06007067137809187,0.6567901234567901,0.03141923436041083,9,pvalue_bh
0.15,238,189,320,30,290,0.09375,0.7160493827160493,0.057834800586901436,9,pvalue_bh
0.2,238,196,348,39,309,0.11206896551724138,0.762962962962963,0.07377450980392157,9,pvalue_bh
0.05,238,116,161,4,157,0.024844720496894408,0.3925,0.01680672268907563,10,betting
0.1,238,134,181,6,175,0.03314917127071823,0.4375,0.025210084033613446,10,betting
0.15,238,140,187,6,181,0.03208556149732621,0.4525,0.025210084033613446,10,betting
0.2,238,141,188,6,182,0.031914893617021274,0.455,0.025210084033613446,10,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,10,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,10,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,10,binary
0.2,238,119,181,16,165,0.08839779005524862,0.4125,0.04213352007469655,10,binary
0.05,238,143,224,9,215,0.04017857142857143,0.5375,0.023984593837535012,10,pvalue_bh
0.1,238,166,279,16,263,0.05734767025089606,0.6575,0.03583099906629319,10,pvalue_bh
0.15,238,178,323,25,298,0.07739938080495357,0.745,0.05158730158730158,10,pvalue_bh
0.2,238,186,343,32,311,0.09329446064139942,0.7775,0.06345704948646125,10,pvalue_bh
0.05,238,116,149,1,148,0.006711409395973154,0.354916067146283,0.004201680672268907,11,betting
0.1,238,118,151,1,150,0.006622516556291391,0.3597122302158273,0.004201680672268907,11,betting
0.15,238,120,153,1,152,0.006535947712418301,0.3645083932853717,0.004201680672268907,11,betting
0.2,238,120,153,1,152,0.006535947712418301,0.3645083932853717,0.004201680672268907,11,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,11,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,11,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,11,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,11,binary
0.05,238,150,200,2,198,0.01,0.4748201438848921,0.008403361344537815,11,pvalue_bh
0.1,238,168,277,9,268,0.032490974729241874,0.6426858513189448,0.018487394957983194,11,pvalue_bh
0.15,238,179,308,16,292,0.05194805194805195,0.7002398081534772,0.03207282913165266,11,pvalue_bh
0.2,238,187,329,22,307,0.0668693009118541,0.7362110311750599,0.045028011204481785,11,pvalue_bh
0.05,238,78,103,1,102,0.009708737864077669,0.26631853785900783,0.004201680672268907,12,betting
