method,alpha,total_rejections,fdp,recall
betting,0.05,76.9,0.009517400231998362,0.19519144832969346
betting,0.1,154.1,0.014089220021537277,0.39108272839956093
betting,0.15,194.45,0.022101932829973664,0.4893429907051418
betting,0.2,226.05,0.03315031979008184,0.5621143743302445
binary,0.05,9.2,0.0008152173913043478,0.023145780051150894
binary,0.1,38.0,0.007425927798564061,0.08729765682657249
binary,0.15,14.45,0.00397923875432526,0.034015345268542205
binary,0.2,76.15,0.023816304599333517,0.16377351823980177
pvalue_bh,0.05,256.6,0.03840551753391958,0.6336079211712201
pvalue_bh,0.1,311.35,0.06695328970201567,0.7458422429322188
pvalue_bh,0.15,348.55,0.09693543155304693,0.8075648576088981
pvalue_bh,0.2,366.2,0.11431330217259486,0.8328435910239527
