bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0501458197832107,0.052050683274865076,24,1,0.02976190476190476,0.001516300227445034,0.05094768764215315
1,0.052050683274865076,0.053928333707153706,23,2,0.02857142857142857,0.002274450341167551,0.07960576194086429
2,0.053928333707153706,0.05784782152622937,21,4,0.02619047619047619,0.0037907505686125853,0.14473774898338962
3,0.05784782152622937,0.06018525362014763,22,3,0.02738095238095238,0.003032600454890068,0.11075584270033292
4,0.06018525362014763,0.06274514272809022,20,5,0.025,0.004548900682335102,0.18195602729340407
5,0.06274514272809022,0.06423026621341701,18,7,0.02261904761904762,0.006065200909780136,0.268145724432385
6,0.06423026621341701,0.06741667520254849,18,7,0.02261904761904762,0.006065200909780136,0.268145724432385
7,0.06741667520254849,0.07112793177366254,21,4,0.02619047619047619,0.0037907505686125853,0.14473774898338962
8,0.07112793177366254,0.07442442458122965,23,2,0.02857142857142857,0.002274450341167551,0.07960576194086429
9,0.07442442458122965,0.08010119944810862,23,2,0.02857142857142857,0.002274450341167551,0.07960576194086429
10,0.08010119944810862,0.08388468697667117,17,8,0.02142857142857143,0.006823351023502654,0.3184230477634572
11,0.08388468697667117,0.08729733899235723,20,5,0.025,0.004548900682335102,0.18195602729340407
12,0.08729733899235723,0.09418824445456261,22,3,0.02738095238095238,0.003032600454890068,0.11075584270033292
13,0.09418824445456261,0.10030156821012497,21,4,0.02619047619047619,0.0037907505686125853,0.14473774898338962
14,0.10030156821012497,0.10528873372822992,18,7,0.02261904761904762,0.006065200909780136,0.268145724432385
15,0.10528873372822992,0.11111044883728022,21,4,0.02619047619047619,0.0037907505686125853,0.14473774898338962
16,0.11111044883728022,0.11872885841876263,19,6,0.023809523809523808,0.00530705079605762,0.22289613343442005
17,0.11872885841876263,0.12781842499971385,23,2,0.02857142857142857,0.002274450341167551,0.07960576194086429
18,0.12781842499971385,0.14005120508372784,20,5,0.025,0.004548900682335102,0.18195602729340407
19,0.14005120508372784,0.1522639542818069,23,2,0.02857142857142857,0.002274450341167551,0.07960576194086429
20,0.1522639542818069,0.16286552511155603,19,6,0.023809523809523808,0.00530705079605762,0.22289613343442005
21,0.16286552511155603,0.17341091409325599,20,5,0.025,0.004548900682335102,0.18195602729340407
22,0.17341091409325599,0.18861323483288286,18,7,0.02261904761904762,0.006065200909780136,0.268145724432385
23,0.18861323483288286,0.20287657976150522,18,7,0.02261904761904762,0.006065200909780136,0.268145724432385
24,0.20287657976150522,0.2215186860412359,15,10,0.01904761904761905,0.008339651250947688,0.4378316906747536
25,0.2215186860412359,0.2410722471773624,15,10,0.01904761904761905,0.008339651250947688,0.4378316906747536
26,0.2410722471773624,0.26407726630568507,18,7,0.02261904761904762,0.006065200909780136,0.268145724432385
27,0.26407726630568507,0.2818642020225525,16,9,0.02023809523809524,0.0075815011372251705,0.3746153503099496
28,0.2818642020225525,0.2977740399539471,14,11,0.017857142857142856,0.009097801364670205,0.5094768764215315
29,0.2977740399539471,0.31733555346727366,14,11,0.017857142857142856,0.009097801364670205,0.5094768764215315
30,0.31733555346727366,0.3422913014888764,15,10,0.01904761904761905,0.008339651250947688,0.4378316906747536
31,0.3422913014888764,0.37365608811378487,18,7,0.02261904761904762,0.006065200909780136,0.268145724432385
32,0.37365608811378487,0.40792034938931476,15,10,0.01904761904761905,0.008339651250947688,0.4378316906747536
33,0.40792034938931476,0.434116466343403,13,12,0.016666666666666666,0.009855951478392721,0.5913570887035633
34,0.434116466343403,0.46049053594470024,6,19,0.008333333333333333,0.015163002274450341,1.819560272934041
35,0.46049053594470024,0.5022330224514008,10,15,0.013095238095238096,0.012130401819560273,0.9263215934936936
36,0.5022330224514008,0.5282302722334862,12,13,0.015476190476190477,0.01061410159211524,0.6858342567212924
37,0.5282302722334862,0.55545574426651,9,16,0.011904761904761904,0.01288855193328279,1.0826383623957543
38,0.55545574426651,0.6014512062072755,6,19,0.008333333333333333,0.015163002274450341,1.819560272934041
39,0.6014512062072755,0.6327481269836426,8,16,0.010714285714285714,0.01288855193328279,1.2029315137730603
40,0.6327481269836426,0.6565786808729173,5,20,0.007142857142857143,0.01592115238817286,2.2289613343442003
41,0.6565786808729173,0.6775114327669144,8,17,0.010714285714285714,0.013646702047005308,1.2736921910538288
42,0.6775114327669144,0.6990076690912246,9,16,0.011904761904761904,0.01288855193328279,1.0826383623957543
43,0.6990076690912246,0.7214112162590027,2,23,0.0035714285714285713,0.01819560272934041,5.094768764215314
44,0.7214112162590027,0.7440693154931068,4,21,0.005952380952380952,0.016679302501895376,2.802122820318423
45,0.7440693154931068,0.7633814334869385,2,23,0.0035714285714285713,0.01819560272934041,5.094768764215314
46,0.7633814334869385,0.7729977756738663,2,23,0.0035714285714285713,0.01819560272934041,5.094768764215314
47,0.7729977756738663,0.788099730014801,5,20,0.007142857142857143,0.01592115238817286,2.2289613343442003
48,0.788099730014801,0.8033008188009262,1,24,0.002380952380952381,0.018953752843062926,7.960576194086428
49,0.8033008188009262,0.8198155760765076,4,21,0.005952380952380952,0.016679302501895376,2.802122820318423
50,0.8198155760765076,0.8295680806040764,2,23,0.0035714285714285713,0.01819560272934041,5.094768764215314
51,0.8295680806040764,0.8365430414676667,5,20,0.007142857142857143,0.01592115238817286,2.2289613343442003
