alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,267.0,0,betting
0.1,238,88,116,0,116,0.0,0.2966751918158568,0.0,0.4,267.0,0,betting
0.15,238,129,170,1,169,0.0058823529411764705,0.4322250639386189,0.004201680672268907,0.4,267.0,0,betting
0.2,238,144,203,3,200,0.014778325123152709,0.5115089514066496,0.006827731092436975,0.4,267.0,0,betting
0.05,238,136,184,3,181,0.016304347826086956,0.4629156010230179,0.007703081232492997,0.4,267.0,0,binary
0.1,238,148,220,6,214,0.02727272727272727,0.5473145780051151,0.014472455648926238,0.4,267.0,0,binary
0.15,238,175,289,23,266,0.07958477508650519,0.680306905370844,0.043023876217153534,0.4,267.0,0,binary
0.2,238,194,344,36,308,0.10465116279069768,0.7877237851662404,0.07387327480011613,0.4,267.0,0,binary
0.05,238,165,249,6,243,0.024096385542168676,0.6214833759590793,0.013830532212885153,0.4,,0,pvalue_bh
0.1,238,178,302,11,291,0.03642384105960265,0.7442455242966752,0.020374816593303986,0.4,,0,pvalue_bh
0.15,238,189,343,25,318,0.0728862973760933,0.8132992327365729,0.043986761371215155,0.4,,0,pvalue_bh
0.2,238,200,368,37,331,0.10054347826086957,0.8465473145780051,0.07457355491216094,0.4,,0,pvalue_bh
0.05,238,79,97,0,97,0.0,0.2400990099009901,0.0,0.4,273.0,1,betting
0.1,238,117,156,2,154,0.01282051282051282,0.3811881188118812,0.005252100840336135,0.4,273.0,1,betting
0.15,238,143,218,5,213,0.022935779816513763,0.5272277227722773,0.010294117647058825,0.4,273.0,1,betting
0.2,238,161,261,12,249,0.04597701149425287,0.6163366336633663,0.021755368814192346,0.4,273.0,1,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,273.0,1,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,273.0,1,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,273.0,1,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,273.0,1,binary
0.05,238,175,301,14,287,0.046511627906976744,0.7103960396039604,0.027707749766573298,0.4,,1,pvalue_bh
0.1,238,187,348,29,319,0.08333333333333333,0.7896039603960396,0.05434173669467787,0.4,,1,pvalue_bh
0.15,238,197,395,52,343,0.13164556962025317,0.849009900990099,0.08997098839535814,0.4,,1,pvalue_bh
0.2,238,197,395,52,343,0.13164556962025317,0.849009900990099,0.08997098839535814,0.4,,1,pvalue_bh
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,234.0,2,betting
0.1,238,97,136,1,135,0.007352941176470588,0.3515625,0.004201680672268907,0.4,234.0,2,betting
0.15,238,136,195,2,193,0.010256410256410256,0.5026041666666666,0.008403361344537815,0.4,234.0,2,betting
0.2,238,149,217,3,214,0.013824884792626729,0.5572916666666666,0.01050420168067227,0.4,234.0,2,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,234.0,2,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,234.0,2,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,234.0,2,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,234.0,2,binary
0.05,238,164,248,10,238,0.04032258064516129,0.6197916666666666,0.023669467787114845,0.4,,2,pvalue_bh
0.1,238,185,299,17,282,0.056856187290969896,0.734375,0.036414565826330535,0.4,,2,pvalue_bh
0.15,238,194,332,25,307,0.07530120481927711,0.7994791666666666,0.052521008403361345,0.4,,2,pvalue_bh
0.2,238,198,354,37,317,0.10451977401129943,0.8255208333333334,0.06407563025210083,0.4,,2,pvalue_bh
0.05,238,79,89,3,86,0.033707865168539325,0.22872340425531915,0.01050420168067227,0.4,261.0,3,betting
0.1,238,120,165,6,159,0.03636363636363636,0.4228723404255319,0.017857142857142856,0.4,261.0,3,betting
0.15,238,149,220,9,211,0.04090909090909091,0.5611702127659575,0.022584033613445378,0.4,261.0,3,betting
0.2,238,164,272,19,253,0.06985294117647059,0.6728723404255319,0.04495798319327731,0.4,261.0,3,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,261.0,3,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,261.0,3,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,261.0,3,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,261.0,3,binary
0.05,238,172,300,24,276,0.08,0.7340425531914894,0.05431839402427637,0.4,,3,pvalue_bh
0.1,238,182,335,36,299,0.10746268656716418,0.7952127659574468,0.07434640522875817,0.4,,3,pvalue_bh
0.15,238,197,374,49,325,0.13101604278074866,0.8643617021276596,0.10182921653509891,0.4,,3,pvalue_bh
