method,alpha,total_rejections,fdp,recall
betting,0.05,43.76239673990734,0.011699022116522607,0.11049812267167139
betting,0.1,19.63321567891355,0.013173507657078143,0.05140894084037729
betting,0.15,20.16634768487761,0.013633660153899966,0.05129286312683364
betting,0.2,23.851459185197832,0.01921030297856873,0.05668045474141615
binary,0.05,41.14365078599612,0.003645763006793135,0.10351107517326393
binary,0.1,93.3251249523322,0.01976199703415355,0.21346680732725956
binary,0.15,64.62236454974392,0.01779569670674573,0.1521212485971724
binary,0.2,156.5618340935518,0.04919765301723642,0.33617139749200275
pvalue_bh,0.05,27.423386101339815,0.01736793092828011,0.05391374053462894
pvalue_bh,0.1,23.113620955709443,0.021904789639382694,0.02621875728418193
pvalue_bh,0.15,27.778209938158746,0.02565963836868212,0.024167262716292184
pvalue_bh,0.2,24.01885224480751,0.020075191848336983,0.01655149537592726
