family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:100:13:297,coco,100,13,horse,horse,False,1,1,0,1,0.0
coco:102:15:303,coco,102,15,person,person,False,4,0,0,0,0.0
coco:103:11:308,coco,103,11,diningtable,diningtable,True,1,0,0,0,0.0
coco:103:15:306,coco,103,15,person,person,False,12,0,0,0,0.0
coco:104:15:309,coco,104,15,person,person,False,1,1,0,1,0.0
coco:105:4:312,coco,105,4,boat,boat,False,3,0,0,0,0.0
coco:106:9:315,coco,106,9,chair,chair,False,3,0,0,0,0.0
coco:10:15:27,coco,10,15,person,person,False,8,0,0,0,0.0
coco:110:15:327,coco,110,15,person,person,False,3,3,0,3,0.0
coco:113:18:337,coco,113,18,sofa,sofa,True,1,0,0,0,0.0
coco:116:14:347,coco,116,14,motorbike,motorbike,True,1,0,0,0,0.0
coco:118:9:351,coco,118,9,chair,chair,False,2,0,0,0,0.0
coco:11:7:30,coco,11,7,car,car,False,1,1,0,1,0.0
coco:121:15:360,coco,121,15,person,person,False,1,1,0,1,0.0
coco:122:15:363,coco,122,15,person,person,False,1,1,0,1,0.0
coco:123:15:366,coco,123,15,person,person,False,5,0,0,0,0.0
coco:125:9:372,coco,125,9,chair,chair,False,3,3,0,3,0.0
coco:126:7:375,coco,126,7,car,car,False,4,0,0,0,0.0
coco:127:15:378,coco,127,15,person,person,False,1,1,0,1,0.0
coco:128:15:381,coco,128,15,person,person,False,4,0,0,0,0.0
coco:129:14:384,coco,129,14,motorbike,motorbike,False,1,1,0,1,0.0
coco:131:18:392,coco,131,18,sofa,sofa,True,1,0,0,0,0.0
coco:131:5:390,coco,131,5,bottle,bottle,False,2,0,0,0,0.0
coco:132:3:393,coco,132,3,bird,bird,False,1,1,0,1,0.0
coco:133:3:396,coco,133,3,bird,bird,False,1,1,0,1,0.0
coco:134:15:399,coco,134,15,person,person,False,3,3,0,3,0.0
coco:134:5:401,coco,134,5,bottle,bottle,True,1,0,0,0,0.0
coco:135:16:404,coco,135,16,pottedplant,pottedplant,True,1,0,0,0,0.0
coco:135:8:402,coco,135,8,cat,cat,False,1,1,0,1,0.0
coco:138:15:411,coco,138,15,person,person,False,3,3,0,3,0.0
coco:138:5:412,coco,138,5,bottle,bottle,True,1,0,0,0,0.0
coco:139:15:414,coco,139,15,person,person,False,1,1,0,1,0.0
coco:141:15:420,coco,141,15,person,person,False,1,1,0,1,0.0
coco:146:15:435,coco,146,15,person,person,False,3,0,0,0,0.0
coco:148:18:441,coco,148,18,sofa,sofa,False,4,0,0,0,0.0
coco:149:15:444,coco,149,15,person,person,False,3,3,0,3,0.0
coco:150:13:447,coco,150,13,horse,horse,False,1,1,0,1,0.0
coco:151:15:450,coco,151,15,person,person,False,8,0,0,0,0.0
