alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,238,181,307,11,296,0.035830618892508145,0.7570332480818415,0.020374816593303986,0.6444403529167175,0.04565826330532213,0.0496513249651325,338,26,312,0,scoregate_family_crc
0.1,238,200,373,39,334,0.10455764075067024,0.8542199488491049,0.0775147313827492,0.4076046347618103,0.0952731092436975,0.09905857740585776,411,59,352,0,scoregate_family_crc
0.15,238,215,440,87,353,0.19772727272727272,0.9028132992327366,0.15500153809530193,0.1988577395677566,0.14422874412923062,0.1478093769989828,493,109,384,0,scoregate_family_crc
0.2,238,220,491,125,366,0.2545824847250509,0.9360613810741688,0.19051074177677452,0.125712975859642,0.19284819190834226,0.196225396126299,541,150,391,0,scoregate_family_crc
0.05,238,192,350,30,320,0.08571428571428572,0.7920792079207921,0.061274509803921566,0.5563948750495911,0.045168067226890755,0.049163179916317995,337,30,307,1,scoregate_family_crc
0.1,238,197,405,59,346,0.145679012345679,0.8564356435643564,0.09538860998945033,0.3463311791419983,0.09465286114445778,0.09844092448694959,401,63,338,1,scoregate_family_crc
0.15,238,204,438,80,358,0.182648401826484,0.8861386138613861,0.1194115524997878,0.2575622200965881,0.14467286914765903,0.14825164375373578,448,92,356,1,scoregate_family_crc
0.2,238,213,494,120,374,0.242914979757085,0.9257425742574258,0.16118780845671601,0.1437344998121261,0.19625683606776043,0.19961977817626353,516,145,371,1,scoregate_family_crc
0.05,238,193,318,21,297,0.0660377358490566,0.7734375,0.044817927170868355,0.6186416149139404,0.04586834733893557,0.049860529986053,286,22,264,2,scoregate_family_crc
0.1,238,199,356,38,318,0.10674157303370786,0.828125,0.06827731092436974,0.4529241323471069,0.09565713986129211,0.09944100120078461,334,46,288,2,scoregate_family_crc
0.15,238,216,429,79,350,0.18414918414918416,0.9114583333333334,0.1396358543417367,0.2304081618785858,0.14558184947393263,0.14915682081504586,401,81,320,2,scoregate_family_crc
0.2,238,223,481,118,363,0.24532224532224534,0.9453125,0.19601340536214487,0.1323397904634475,0.19548591366371107,0.1988520813889675,446,115,331,2,scoregate_family_crc
0.05,238,185,341,37,304,0.10850439882697947,0.8085106382978723,0.07574696545284781,0.5532655715942383,0.04569327731092437,0.049686192468619245,344,24,320,3,scoregate_family_crc
0.1,238,206,416,78,338,0.1875,0.898936170212766,0.15207795239307842,0.2865268588066101,0.09529144991329865,0.09907684133625555,433,65,368,3,scoregate_family_crc
0.15,238,215,454,109,345,0.24008810572687225,0.9175531914893617,0.20256358953837944,0.1931944340467453,0.14323062558356675,0.14681543468154346,480,93,387,3,scoregate_family_crc
